ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
967,,after_candidate_limit,,327,13,2,13,11.67,3.5,3,4.5,1,3,0.9413842105263158,0.4633299631680744
968,,after_candidate_limit,,2058,82,8,82,13.89,8.33,2.17,3.25,2,8,0.9413626794258373,0.4798804559194722
969,,after_candidate_limit,,154,6,4,6,11.67,10.5,3,4.5,1,15,0.9413287081339713,0.46213853592515564
970,,after_candidate_limit,,678,27,3,27,11.67,7,3,4.5,1,8,0.9412751196172249,0.45730524185447974
971,,after_candidate_limit,,503,20,3,20,11.67,5.25,3,4.5,1,8,0.9412598086124402,0.45718399956129596
972,,after_candidate_limit,,328,13,3,13,11.67,3.5,3,4.5,1,8,0.9412588516746412,0.4571755826488083
973,,after_candidate_limit,,329,13,4,13,11.67,3.5,3,4.5,1,15,0.9412588516746412,0.4571755826488083
974,,after_candidate_limit,,504,20,4,20,11.67,5.25,3,4.5,1,15,0.9412588516746412,0.4571755826488083
975,,after_candidate_limit,,679,27,4,27,11.67,7,3,4.5,1,15,0.9412588516746412,0.4571755826488083
976,,after_candidate_limit,,2080,83,5,83,13.89,8.33,3,4.5,2,1,0.9412483253588517,0.5214068234209686
977,,after_candidate_limit,,1883,75,8,75,13.89,6.25,2.17,3.25,2,8,0.94122009569378,0.47481222236316833
978,,after_candidate_limit,,1533,61,8,61,13.89,12.5,2.17,3.25,2,8,0.9412143540669856,0.4838021767007962
979,,after_candidate_limit,,1708,68,8,68,13.89,4.17,2.17,3.25,2,8,0.9412143540669856,0.4747627480326174
980,,after_candidate_limit,,1709,68,9,68,13.89,4.17,2.17,3.25,2,15,0.9412143540669856,0.4747627480326174
981,,after_candidate_limit,,1884,75,9,75,13.89,6.25,2.17,3.25,2,15,0.9412143540669856,0.4747627480326174
982,,after_candidate_limit,,2059,82,9,82,13.89,8.33,2.17,3.25,2,15,0.9412143540669856,0.4747627480326174
983,,after_candidate_limit,,2113,84,13,84,15,13.5,0.5,0.75,3,8,0.9411521531100479,0.4771755468300109
984,,after_candidate_limit,,1935,77,10,77,13.89,8.33,0.5,0.75,3,1,0.9411062200956938,0.526878997960709
985,,after_candidate_limit,,2138,85,13,85,15,13.5,0.5,1.38,3,8,0.9409837320574163,0.47657947510992543
986,,after_candidate_limit,,1905,76,5,76,13.89,6.25,3,4.5,2,1,0.9409028708133971,0.5061764220287726
987,,after_candidate_limit,,1760,70,10,70,13.89,6.25,0.5,0.75,3,1,0.940888995215311,0.5175298916590814
988,,after_candidate_limit,,6,0,6,0,11.67,10.5,0.5,0.75,2,2,0.9408794258373205,0.4875085843567792
989,,after_candidate_limit,,531,21,6,21,11.67,7,0.5,0.75,2,2,0.9408612440191387,0.4854586011752563
990,,after_candidate_limit,,180,7,5,7,11.67,3.5,0.5,0.75,2,1,0.9408172248803828,0.4837234756156044
991,,after_candidate_limit,,1960,78,10,78,13.89,8.33,0.5,1.38,3,1,0.940756937799043,0.5248368608379107
992,,after_candidate_limit,,2163,86,13,86,15,13.5,0.5,2,3,8,0.940756937799043,0.4750251322210194
993,,after_candidate_limit,,1785,71,10,71,13.89,6.25,0.5,1.38,3,1,0.9406813397129187,0.5140766614119436
994,,after_candidate_limit,,2205,88,5,88,15,13.5,1.33,3.67,2,1,0.9406497607655503,0.48753438917245295
995,,after_candidate_limit,,755,30,5,30,12.78,11.5,0.5,2,2,1,0.940622966507177,0.48827323896709707
996,,after_candidate_limit,,31,1,6,1,11.67,10.5,0.5,1.38,2,2,0.9406,0.48219741513487235
997,,after_candidate_limit,,1810,72,10,72,13.89,6.25,0.5,2,3,1,0.940599043062201,0.5120066948367199
998,,after_candidate_limit,,2230,89,5,89,15,13.5,2.17,3.25,2,1,0.9405741626794258,0.48775206577827995
999,,after_candidate_limit,,556,22,6,22,11.67,7,0.5,1.38,2,2,0.9405674641148325,0.47871254269601804
1000,,after_candidate_limit,,56,2,6,2,11.67,10.5,0.5,2,2,2,0.9405521531100478,0.4798731687338319
1001,,after_candidate_limit,,7,0,7,0,11.67,10.5,0.5,0.75,2,3,0.9405454545454546,0.4770397250892659
1002,,after_candidate_limit,,205,8,5,8,11.67,3.5,0.5,1.38,2,1,0.9405358851674641,0.47601024316970464
1003,,after_candidate_limit,,230,9,5,9,11.67,3.5,0.5,2,2,1,0.9405177033492823,0.47480437860052077
1004,,after_candidate_limit,,581,23,6,23,11.67,7,0.5,2,2,2,0.9404755980861244,0.4766683084240913
1005,,after_candidate_limit,,32,1,7,1,11.67,10.5,0.5,1.38,2,3,0.9403751196172249,0.47581480130972126
1006,,after_candidate_limit,,8,0,8,0,11.67,10.5,0.5,0.75,2,8,0.9403741626794259,0.4738707691376411
1007,,after_candidate_limit,,58,2,8,2,11.67,10.5,0.5,2,2,8,0.9403492822966507,0.4718447514776548
1008,,after_candidate_limit,,2081,83,6,83,13.89,8.33,3,4.5,2,2,0.9403411483253589,0.49899674302034097
