ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
2463,,after_candidate_limit,,1568,62,18,62,13.89,12.5,3,4.5,6,8,0.8879019138755981,0.37585319920270405
2464,,after_candidate_limit,,3511,140,11,140,9.44,2.83,0.5,0.75,3,2,0.9132272727272728,0.3757628540225552
2465,,after_candidate_limit,,1146,45,21,45,12.78,5.75,1.33,2,20,2,0.8849555023923446,0.3756565327474147
2466,,after_candidate_limit,,2771,110,21,110,15,9,2.17,3.25,20,2,0.8535086124401914,0.37563164065971005
2467,,after_candidate_limit,,970,38,20,38,12.78,3.83,1.33,2,20,1,0.8848382775119618,0.3756293087034028
2468,,after_candidate_limit,,3871,154,21,154,9.44,5.66,0.5,0.75,20,2,0.8579382775119617,0.3756068776865526
2469,,after_candidate_limit,,2047,81,22,81,13.89,8.33,1.33,3.67,20,3,0.8799650717703349,0.37544725763848996
2470,,after_candidate_limit,,2070,82,20,82,13.89,8.33,2.17,3.25,20,1,0.8494387559808613,0.37544404857462677
2471,,after_candidate_limit,,2674,106,24,106,15,9,0.5,1.38,20,15,0.9053263157894736,0.375401339173872
2472,,after_candidate_limit,,3865,154,15,154,9.44,5.66,0.5,0.75,6,1,0.8822272727272727,0.3753917219671768
2473,,after_candidate_limit,,2649,105,24,105,15,9,0.5,0.75,20,15,0.905157894736842,0.3753764109599443
2474,,after_candidate_limit,,1171,46,21,46,12.78,5.75,1.33,3.67,20,2,0.8849564593301436,0.37536309762731357
2475,,after_candidate_limit,,67,2,17,2,11.67,10.5,0.5,2,6,3,0.9010961722488038,0.3752620757278192
2476,,after_candidate_limit,,3745,149,20,149,9.44,4.25,0.5,2,20,1,0.8581555023923445,0.3751867496379684
2477,,after_candidate_limit,,418,16,18,16,11.67,5.25,0.5,2,6,8,0.9029095693779904,0.37516312808447994
2478,,after_candidate_limit,,368,14,18,14,11.67,5.25,0.5,0.75,6,8,0.9029076555023924,0.3751352097765665
2479,,after_candidate_limit,,393,15,18,15,11.67,5.25,0.5,1.38,6,8,0.9029076555023924,0.3751352097765665
2480,,after_candidate_limit,,3970,158,20,158,9.44,5.66,1.33,3.67,20,1,0.8183244019138756,0.375129489098508
2481,,after_candidate_limit,,193,7,18,7,11.67,3.5,0.5,0.75,6,8,0.9029066985645933,0.37512126642144666
2482,,after_candidate_limit,,194,7,19,7,11.67,3.5,0.5,0.75,6,15,0.9029066985645933,0.37512126642144666
2483,,after_candidate_limit,,218,8,18,8,11.67,3.5,0.5,1.38,6,8,0.9029066985645933,0.37512126642144666
2484,,after_candidate_limit,,219,8,19,8,11.67,3.5,0.5,1.38,6,15,0.9029066985645933,0.37512126642144666
2485,,after_candidate_limit,,243,9,18,9,11.67,3.5,0.5,2,6,8,0.9029066985645933,0.37512126642144666
2486,,after_candidate_limit,,244,9,19,9,11.67,3.5,0.5,2,6,15,0.9029066985645933,0.37512126642144666
2487,,after_candidate_limit,,369,14,19,14,11.67,5.25,0.5,0.75,6,15,0.9029066985645933,0.37512126642144666
2488,,after_candidate_limit,,394,15,19,15,11.67,5.25,0.5,1.38,6,15,0.9029066985645933,0.37512126642144666
2489,,after_candidate_limit,,419,16,19,16,11.67,5.25,0.5,2,6,15,0.9029066985645933,0.37512126642144666
2490,,after_candidate_limit,,544,21,19,21,11.67,7,0.5,0.75,6,15,0.9029066985645933,0.37512126642144666
2491,,after_candidate_limit,,569,22,19,22,11.67,7,0.5,1.38,6,15,0.9029066985645933,0.37512126642144666
2492,,after_candidate_limit,,594,23,19,23,11.67,7,0.5,2,6,15,0.9029066985645933,0.37512126642144666
2493,,after_candidate_limit,,488,19,13,19,11.67,5.25,2.17,3.25,3,8,0.8943033492822966,0.37508046846208165
2494,,after_candidate_limit,,313,12,13,12,11.67,3.5,2.17,3.25,3,8,0.8942995215311005,0.375032887789602
2495,,after_candidate_limit,,314,12,14,12,11.67,3.5,2.17,3.25,3,15,0.8942995215311005,0.375032887789602
2496,,after_candidate_limit,,489,19,14,19,11.67,5.25,2.17,3.25,3,15,0.8942995215311005,0.375032887789602
2497,,after_candidate_limit,,664,26,14,26,11.67,7,2.17,3.25,3,15,0.8942995215311005,0.375032887789602
2498,,after_candidate_limit,,1846,73,21,73,13.89,6.25,1.33,2,20,2,0.8831555023923445,0.37483385070553615
2499,,after_candidate_limit,,3737,149,12,149,9.44,4.25,0.5,2,3,3,0.9132057416267942,0.3748192266982969
2500,,after_candidate_limit,,470,18,20,18,11.67,5.25,1.33,3.67,20,1,0.8618703349282296,0.3747745327138427
2501,,after_candidate_limit,,3712,148,12,148,9.44,4.25,0.5,1.38,3,3,0.9131961722488038,0.3747100352023729
2502,,after_candidate_limit,,1172,46,22,46,12.78,5.75,1.33,3.67,20,3,0.8848306220095694,0.37469022404070834
2503,,after_candidate_limit,,766,30,16,30,12.78,11.5,0.5,2,6,2,0.8931157894736842,0.37460799159349084
2504,,after_candidate_limit,,1147,45,22,45,12.78,5.75,1.33,2,20,3,0.8848377990430623,0.3745766326347572
2505,,after_candidate_limit,,1467,58,17,58,13.89,12.5,0.5,2,6,3,0.8895301435406698,0.3745704508766521
2506,,after_candidate_limit,,3561,142,11,142,9.44,2.83,0.5,2,3,2,0.9131875598086124,0.3745231081064253
2507,,after_candidate_limit,,3536,141,11,141,9.44,2.83,0.5,1.38,3,2,0.9131866028708134,0.3745053848497666
2508,,after_candidate_limit,,1015,40,15,40,12.78,3.83,2.17,3.25,6,1,0.8796397129186603,0.374451955388396
2509,,after_candidate_limit,,371,14,21,14,11.67,5.25,0.5,0.75,20,2,0.8797334928229665,0.37443445173117146
2510,,after_candidate_limit,,995,39,20,39,12.78,3.83,1.33,3.67,20,1,0.88482009569378,0.37414876907013056
2511,,after_candidate_limit,,793,31,18,31,12.78,11.5,1.33,2,6,8,0.8982612440191388,0.3740990965859479
2512,,after_candidate_limit,,818,32,18,32,12.78,11.5,1.33,3.67,6,8,0.8982617224880383,0.37380622179404455
2513,,after_candidate_limit,,2167,86,17,86,15,13.5,0.5,2,6,3,0.8759004784688995,0.3736402038301106
2514,,after_candidate_limit,,547,21,22,21,11.67,7,0.5,0.75,20,3,0.8796421052631579,0.3735758271395368
