effect_level,observed_pair_survival,anchored_nested_survival
-0.15434185833219136,1.0,0.9789793130358106
-0.15267123891452825,1.0,0.9772090277298717
-0.1510006194968651,1.0,0.9762960914394591
-0.149330000079202,1.0,0.9751302851641088
-0.14765938066153886,1.0,0.9738683502941843
-0.14598876124387575,1.0,0.9729861311102052
-0.1443181418262126,1.0,0.9719242037751478
-0.1426475224085495,1.0,0.9713601715962882
-0.14097690299088636,1.0,0.9697665571419232
-0.13930628357322325,1.0,0.9678234583357265
-0.1376356641555601,1.0,0.9667062413101826
-0.135965044737897,1.0,0.9658682320691017
-0.13429442532023386,1.0,0.9641783550346947
-0.13262380590257075,1.0,0.9634510647598684
-0.1309531864849076,1.0,0.9622182036399161
-0.1292825670672445,1.0,0.9596736378994635
-0.12761194764958136,1.0,0.9585966599134057
-0.12594132823191825,0.978021978021978,0.9506120741101893
-0.12427070881425512,0.978021978021978,0.9493894253586114
-0.122600089396592,0.978021978021978,0.9476367018074896
-0.12092946997892887,0.978021978021978,0.9456727317729394
-0.11925885056126576,0.978021978021978,0.9443012669158741
-0.11758823114360265,0.978021978021978,0.9432666338891615
-0.1159176117259395,0.978021978021978,0.940751885660193
-0.1142469923082764,0.978021978021978,0.9391512338507011
-0.11257637289061326,0.978021978021978,0.9357529600604861
-0.11090575347295015,0.978021978021978,0.9334114748209237
-0.10923513405528701,0.978021978021978,0.9317904187678688
-0.1075645146376239,0.978021978021978,0.9295478468406112
-0.10589389521996076,0.978021978021978,0.9275024205966113
-0.10422327580229765,0.978021978021978,0.9266424429977179
-0.10255265638463451,0.978021978021978,0.9248504250022176
-0.1008820369669714,0.978021978021978,0.9219301791918961
-0.09921141754930826,0.9562881562881563,0.9138866898065222
-0.09754079813164515,0.9562881562881563,0.9126265706761947
-0.09587017871398201,0.9562881562881563,0.9104509361485209
-0.0941995592963189,0.9347985347985348,0.9044644532625642
-0.09252893987865576,0.9347985347985348,0.9028467442574849
-0.09085832046099265,0.9347985347985348,0.9010439302204326
-0.08918770104332951,0.9347985347985348,0.8997262661254809
-0.0875170816256664,0.9347985347985348,0.8976901196023745
-0.08584646220800327,0.9347985347985348,0.8963091722354171
-0.08417584279034016,0.9347985347985348,0.8955865997001409
-0.08250522337267704,0.9347985347985348,0.8926731605105245
-0.0808346039550139,0.9347985347985348,0.890357562101992
-0.0791639845373508,0.9347985347985348,0.8875680995457157
-0.07749336511968766,0.9347985347985348,0.8847389812710234
-0.07582274570202455,0.9347985347985348,0.8818885561534919
-0.07415212628436141,0.9135531135531135,0.8758035827600091
-0.0724815068666983,0.9135531135531135,0.8747030437243984
-0.07081088744903516,0.9135531135531135,0.8732576161663139
-0.06914026803137205,0.8925518925518926,0.8650540607652916
-0.06746964861370891,0.8925518925518926,0.8620107879079162
-0.0657990291960458,0.8925518925518926,0.8609121328844971
-0.06412840977838266,0.8717948717948718,0.8534877582641427
-0.06245779036071955,0.8717948717948718,0.8516006361964875
-0.06078717094305641,0.8717948717948718,0.8491081230493955
-0.0591165515253933,0.8717948717948718,0.8460828811404753
-0.05744593210773016,0.8717948717948718,0.843350437604112
-0.05577531269006705,0.8717948717948718,0.8406613304698496
-0.054104693272403914,0.8717948717948718,0.8379707031189229
-0.052434073854740804,0.8717948717948718,0.8337835459255524
-0.050763454437077665,0.8512820512820513,0.8243423117988995
