endpoint_id,score_focal_hla__pr__regime_1225,score_focal_hla__pr__regime_1400,score_focal_hla__pr__regime_1451,score_focal_hla__pr__regime_1452,score_focal_hla__pr__regime_1775,score_focal_hla__pr__regime_1925,score_focal_hla__pr__regime_1926,score_focal_hla__pr__regime_2100,score_focal_hla__pr__regime_2101,score_focal_hla__pr__regime_2127,score_focal_hla__pr__regime_2153,score_focal_hla__pr__regime_2154,score_focal_hla__pr__regime_2275,score_focal_hla__pr__regime_2450,score_focal_hla__pr__regime_2451,score_focal_hla__pr__regime_2502,score_focal_hla__pr__regime_2625,score_focal_hla__pr__regime_2627,score_focal_hla__pr__regime_2676,score_focal_hla__pr__regime_725
nci_obs_000041,-4.3503217697143555,-3.7057442665100098,-3.7055442333221436,-3.7055442333221436,-3.7055442333221436,-3.7055442333221436,-3.7055442333221436,-3.0415918827056885,-3.040921688079834,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-3.0409116744995117,-4.350371837615967
nci_obs_000042,-6.811587810516357,-6.302875995635986,-6.302875995635986,-6.302875995635986,-6.302875995635986,-6.302875995635986,-6.302875995635986,-5.800788879394531,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-5.800778865814209,-6.811587810516357
nci_obs_000043,-1.1700801849365234,-1.3977317810058594,-1.1837341785430908,-1.1704802513122559,-1.1699901819229126,-1.1704002618789673,-1.1699901819229126,-1.4618157148361206,-1.244530439376831,-1.1769241094589233,-1.1699901819229126,-1.1699901819229126,-1.1699901819229126,-1.1700001955032349,-1.1699901819229126,-1.1699901819229126,-1.1716915369033813,-1.1699901819229126,-1.1699901819229126,-1.2319080829620361
nci_obs_000044,-0.8731556534767151,-0.9323031306266785,-0.7510436177253723,-0.7121668457984924,-0.7060520648956299,-0.7165171504020691,-0.7054116129875183,-0.9370215535163879,-0.7690203189849854,-0.6913595795631409,-0.6592975854873657,-0.6592975854873657,-0.6594275832176208,-0.6617305874824524,-0.6593275666236877,-0.6592975854873657,-0.6783784627914429,-0.6593176126480103,-0.6606585383415222,-0.9604964852333069
nci_obs_000045,-2.189063310623169,-1.712725043296814,-1.6944605112075806,-1.6939904689788818,-1.6939804553985596,-1.694000482559204,-1.6939804553985596,-1.4135526418685913,-1.354467749595642,-1.3469164371490479,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.34653639793396,-1.3466163873672485,-1.34653639793396,-1.34653639793396,-2.1916966438293457
nci_obs_000046,-1.1784416437149048,-1.5243183374404907,-1.3037205934524536,-1.1966599225997925,-1.1114591360092163,-1.1975834369659424,-1.1208750009536743,-1.4768673181533813,-1.295771837234497,-1.183902382850647,-1.1077710390090942,-1.1074209213256836,-1.1076910495758057,-1.1215615272521973,-1.1082111597061157,-1.1074209213256836,-1.1992830038070679,-1.1095929145812988,-1.1320947408676147,-1.5471739768981934
nci_obs_000047,-3.296408176422119,-2.6731772422790527,-2.669490337371826,-2.669450283050537,-2.669450283050537,-2.669450283050537,-2.669450283050537,-2.1683433055877686,-2.154334783554077,-2.1535847187042236,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.153564691543579,-2.1535747051239014,-2.153564691543579,-2.153564691543579,-3.296708345413208
nci_obs_000048,-2.574784994125366,-1.95413339138031,-1.9505871534347534,-1.9505871534347534,-1.9505871534347534,-1.9505971670150757,-1.9505871534347534,-1.4329166412353516,-1.420493245124817,-1.4199731349945068,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199631214141846,-1.4199930429458618,-1.4199631214141846,-1.4199631214141846,-2.574925184249878
nci_obs_000049,-1.6653882265090942,-1.5971256494522095,-1.4337189197540283,-1.4197055101394653,-1.418584942817688,-1.4186148643493652,-1.418584942817688,-1.638758659362793,-1.4675965309143066,-1.380462408065796,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.3503817319869995,-1.350551724433899,-1.3503817319869995,-1.3503817319869995,-1.6814872026443481
nci_obs_000050,-0.7005952596664429,-0.8011893630027771,-0.6529290676116943,-0.5922879576683044,-0.5884606242179871,-0.5888906717300415,-0.5884606242179871,-0.8700153231620789,-0.6695703864097595,-0.5921112895011902,-0.5736091732978821,-0.5736091732978821,-0.5736091732978821,-0.5736492276191711,-0.5736091732978821,-0.5736091732978821,-0.5749200582504272,-0.5736091732978821,-0.5736091732978821,-0.7511182427406311
nci_obs_000051,-2.9239232540130615,-2.4678075313568115,-2.459744453430176,-2.4596543312072754,-2.4596543312072754,-2.459714412689209,-2.4596543312072754,-2.0921695232391357,-2.067448854446411,-2.0655570030212402,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0654969215393066,-2.0656471252441406,-2.0654969215393066,-2.0654969215393066,-2.925154209136963
nci_obs_000052,-1.502506136894226,-1.6354283094406128,-1.4267245531082153,-1.3800599575042725,-1.375167965888977,-1.376819372177124,-1.3751779794692993,-1.6424360275268555,-1.4595311880111694,-1.3683983087539673,-1.3400036096572876,-1.3400036096572876,-1.3400036096572876,-1.340053677558899,-1.3400036096572876,-1.3400036096572876,-1.3456193208694458,-1.3400036096572876,-1.3400036096572876,-1.6511763334274292
nci_obs_000053,-2.2614710330963135,-2.56038236618042,-2.348141670227051,-2.2477364540100098,-2.1993465423583984,-2.2093160152435303,-2.1995065212249756,-2.579361915588379,-2.3318281173706055,-2.2363929748535156,-2.1949870586395264,-2.1949870586395264,-2.1949870586395264,-2.1951870918273926,-2.1949870586395264,-2.1949870586395264,-2.2090229988098145,-2.1949870586395264,-2.195096969604492,-2.6128880977630615
nci_obs_000054,-5.772267818450928,-5.2530999183654785,-5.246135711669922,-5.246105670928955,-5.246105670928955,-5.246105670928955,-5.246105670928955,-4.8532609939575195,-4.826094150543213,-4.825303554534912,-4.825303554534912,-4.825303554534912,-4.825303554534912,-4.825303554534912,-4.825303554534912,-4.825303554534912,-4.825303554534912,-4.825303554534912,-4.825303554534912,-5.772548198699951
nci_obs_000055,-1.1928564310073853,-1.6051756143569946,-1.3897464275360107,-1.2543433904647827,-1.1877386569976807,-1.1938170194625854,-1.1878786087036133,-1.5333027839660645,-1.358048439025879,-1.2303074598312378,-1.1877386569976807,-1.1877386569976807,-1.1877386569976807,-1.1878286600112915,-1.1877386569976807,-1.1877386569976807,-1.1986278295516968,-1.187748670578003,-1.187748670578003,-1.6294211149215698
nci_obs_000056,2.198329210281372,0.889885425567627,0.9011790752410889,0.9020494818687439,2.245405912399292,2.114626407623291,2.2263448238372803,1.1973799467086792,1.2217515707015991,1.2235534191131592,1.223703384399414,2.1197903156280518,2.2458059787750244,2.2353296279907227,2.2456159591674805,2.2459659576416016,1.907832384109497,2.2310147285461426,2.21549654006958,0.5315437316894531
nci_obs_000057,-1.6144623756408691,-1.222319483757019,-1.1916816234588623,-1.1909314393997192,-1.1909114122390747,-1.1910513639450073,-1.1909114122390747,-1.034914493560791,-0.9382987022399902,-0.9217955470085144,-0.9207149744033813,-0.9207149744033813,-0.9207149744033813,-0.9207249879837036,-0.9207149744033813,-0.9207149744033813,-0.9210450053215027,-0.9207149744033813,-0.9207149744033813,-1.6189727783203125
nci_obs_000058,-1.1807254552841187,-1.8551878929138184,-1.460944652557373,-1.2598353624343872,-1.1111115217208862,-1.2042527198791504,-1.1276301145553589,-2.2248127460479736,-1.6131731271743774,-1.3427863121032715,-1.1247589588165283,-1.1082382202148438,-1.1084282398223877,-1.1223632097244263,-1.1091283559799194,-1.1082282066345215,-1.202142596244812,-1.1144154071807861,-1.1373521089553833,-1.740902066230774
nci_obs_000059,-2.712843894958496,-2.3923585414886475,-2.3904266357421875,-2.3904266357421875,-2.3904266357421875,-2.3904266357421875,-2.3904266357421875,-1.9783742427825928,-1.9710967540740967,-1.970956802368164,-1.970956802368164,-1.970956802368164,-1.970956802368164,-1.970956802368164,-1.970956802368164,-1.970956802368164,-1.9709668159484863,-1.970956802368164,-1.970956802368164,-2.7128639221191406
