ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
256,,after_candidate_limit,,2753,110,3,110,15,9,2.17,3.25,1,8,0.9499894736842105,0.4799899774900722
257,,after_candidate_limit,,1602,64,2,64,13.89,4.17,0.5,1.38,1,3,0.9499626794258373,0.4799704909630066
258,,after_candidate_limit,,2002,80,2,80,13.89,8.33,1.33,2,1,3,0.9480095693779904,0.47968225272464765
259,,after_candidate_limit,,2605,104,5,104,15,6.75,3,4.5,2,1,0.9311181818181818,0.4793821437133839
260,,after_candidate_limit,,1726,69,1,69,13.89,4.17,3,4.5,1,2,0.9474526315789473,0.4790395240315579
261,,after_candidate_limit,,2580,103,5,103,15,6.75,2.17,3.25,2,1,0.9313650717703349,0.47891302766342697
262,,after_candidate_limit,,875,35,0,35,12.78,3.83,0.5,0.75,1,1,0.947933014354067,0.47872447142256364
263,,after_candidate_limit,,1276,51,1,51,12.78,7.67,0.5,2,1,2,0.9479598086124402,0.47865341851894666
264,,after_candidate_limit,,1701,68,1,68,13.89,4.17,2.17,3.25,1,2,0.9476918660287081,0.4785943094382225
265,,after_candidate_limit,,1226,49,1,49,12.78,7.67,0.5,0.75,1,2,0.9479291866028708,0.47846302711983246
266,,after_candidate_limit,,1676,67,1,67,13.89,4.17,1.33,3.67,1,2,0.9479387559808612,0.4783687238360603
267,,after_candidate_limit,,851,34,1,34,12.78,11.5,3,4.5,1,2,0.9442095693779904,0.47835201265690774
268,,after_candidate_limit,,1251,50,1,50,12.78,7.67,0.5,1.38,1,2,0.9479626794258373,0.47830545485961784
269,,after_candidate_limit,,2555,102,5,102,15,6.75,1.33,3.67,2,1,0.9329722488038278,0.4782670783173426
270,,after_candidate_limit,,525,21,0,21,11.67,7,0.5,0.75,1,1,0.9462382775119618,0.47821447116289684
271,,after_candidate_limit,,1651,66,1,66,13.89,4.17,1.33,2,1,2,0.947932057416268,0.4781057278582703
272,,after_candidate_limit,,575,23,0,23,11.67,7,0.5,2,1,1,0.9463177033492823,0.47793164533150206
273,,after_candidate_limit,,550,22,0,22,11.67,7,0.5,1.38,1,1,0.9462909090909091,0.4779316309662813
274,,after_candidate_limit,,1902,76,2,76,13.89,6.25,3,4.5,1,3,0.9473952153110048,0.47789626601296664
275,,after_candidate_limit,,1877,75,2,75,13.89,6.25,2.17,3.25,1,3,0.9476411483253588,0.4776074639832814
276,,after_candidate_limit,,2530,101,5,101,15,6.75,1.33,2,2,1,0.9329483253588516,0.4776030585409369
277,,after_candidate_limit,,1578,63,3,63,13.89,4.17,0.5,0.75,1,8,0.9499435406698564,0.4775230368577701
278,,after_candidate_limit,,1579,63,4,63,13.89,4.17,0.5,0.75,1,15,0.9499435406698564,0.4775230368577701
279,,after_candidate_limit,,1603,64,3,64,13.89,4.17,0.5,1.38,1,8,0.9499435406698564,0.4775230368577701
280,,after_candidate_limit,,1604,64,4,64,13.89,4.17,0.5,1.38,1,15,0.9499435406698564,0.4775230368577701
281,,after_candidate_limit,,1628,65,3,65,13.89,4.17,0.5,2,1,8,0.9499435406698564,0.4775230368577701
282,,after_candidate_limit,,1629,65,4,65,13.89,4.17,0.5,2,1,15,0.9499435406698564,0.4775230368577701
283,,after_candidate_limit,,1753,70,3,70,13.89,6.25,0.5,0.75,1,8,0.9499435406698564,0.4775230368577701
284,,after_candidate_limit,,1754,70,4,70,13.89,6.25,0.5,0.75,1,15,0.9499435406698564,0.4775230368577701
285,,after_candidate_limit,,1778,71,3,71,13.89,6.25,0.5,1.38,1,8,0.9499435406698564,0.4775230368577701
286,,after_candidate_limit,,1779,71,4,71,13.89,6.25,0.5,1.38,1,15,0.9499435406698564,0.4775230368577701
287,,after_candidate_limit,,1803,72,3,72,13.89,6.25,0.5,2,1,8,0.9499435406698564,0.4775230368577701
288,,after_candidate_limit,,1804,72,4,72,13.89,6.25,0.5,2,1,15,0.9499435406698564,0.4775230368577701
289,,after_candidate_limit,,1929,77,4,77,13.89,8.33,0.5,0.75,1,15,0.9499435406698564,0.4775230368577701
290,,after_candidate_limit,,1953,78,3,78,13.89,8.33,0.5,1.38,1,8,0.9499435406698564,0.4775230368577701
291,,after_candidate_limit,,1954,78,4,78,13.89,8.33,0.5,1.38,1,15,0.9499435406698564,0.4775230368577701
292,,after_candidate_limit,,1978,79,3,79,13.89,8.33,0.5,2,1,8,0.9499435406698564,0.4775230368577701
293,,after_candidate_limit,,1979,79,4,79,13.89,8.33,0.5,2,1,15,0.9499435406698564,0.4775230368577701
