ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
249,,after_candidate_limit,,1525,61,0,61,13.89,12.5,2.17,3.25,1,1,0.9539425837320574,0.5108360778509253
250,,after_candidate_limit,,1404,56,4,56,13.89,12.5,0.5,0.75,1,15,0.9582382775119618,0.5108336010132924
251,,after_candidate_limit,,1553,62,3,62,13.89,12.5,3,4.5,1,8,0.9546421052631578,0.510765617754583
252,,after_candidate_limit,,25,1,0,1,11.67,10.5,0.5,1.38,1,1,0.9561942583732057,0.5106855526364291
253,,after_candidate_limit,,1350,54,0,54,12.78,7.67,2.17,3.25,1,1,0.9499244019138756,0.5105375479689666
254,,after_candidate_limit,,1478,59,3,59,13.89,12.5,1.33,2,1,8,0.9558535885167464,0.5104790254428099
255,,after_candidate_limit,,1528,61,3,61,13.89,12.5,2.17,3.25,1,8,0.954911961722488,0.5103690547779499
256,,after_candidate_limit,,1503,60,3,60,13.89,12.5,1.33,3.67,1,8,0.9558392344497607,0.5103518222157857
257,,after_candidate_limit,,2108,84,8,84,15,13.5,0.5,0.75,2,8,0.9548143540669857,0.5102950108250981
258,,after_candidate_limit,,1550,62,0,62,13.89,12.5,3,4.5,1,1,0.9534937799043062,0.5101835492838828
259,,after_candidate_limit,,2704,108,4,108,15,9,1.33,2,1,15,0.9579961722488038,0.5100980046415378
260,,after_candidate_limit,,2729,109,4,109,15,9,1.33,3.67,1,15,0.9579961722488038,0.5100980046415378
261,,after_candidate_limit,,2353,94,3,94,15,4.5,1.33,2,1,8,0.9579942583732057,0.5100956986670592
262,,after_candidate_limit,,2354,94,4,94,15,4.5,1.33,2,1,15,0.9579942583732057,0.5100956986670592
263,,after_candidate_limit,,2378,95,3,95,15,4.5,1.33,3.67,1,8,0.9579942583732057,0.5100956986670592
264,,after_candidate_limit,,2379,95,4,95,15,4.5,1.33,3.67,1,15,0.9579942583732057,0.5100956986670592
265,,after_candidate_limit,,2528,101,3,101,15,6.75,1.33,2,1,8,0.9579942583732057,0.5100956986670592
266,,after_candidate_limit,,2529,101,4,101,15,6.75,1.33,2,1,15,0.9579942583732057,0.5100956986670592
267,,after_candidate_limit,,2553,102,3,102,15,6.75,1.33,3.67,1,8,0.9579942583732057,0.5100956986670592
268,,after_candidate_limit,,2554,102,4,102,15,6.75,1.33,3.67,1,15,0.9579942583732057,0.5100956986670592
269,,after_candidate_limit,,2252,90,2,90,15,13.5,3,4.5,1,3,0.9560052631578947,0.5099951188705469
270,,after_candidate_limit,,2158,86,8,86,15,13.5,0.5,2,2,8,0.9548076555023923,0.5099414353678033
271,,after_candidate_limit,,1627,65,2,65,13.89,4.17,0.5,2,1,3,0.9581531100478469,0.5099228812678529
272,,after_candidate_limit,,1577,63,2,63,13.89,4.17,0.5,0.75,1,3,0.9581531100478469,0.5098801390400238
273,,after_candidate_limit,,1602,64,2,64,13.89,4.17,0.5,1.38,1,3,0.9581511961722488,0.5098028937661986
274,,after_candidate_limit,,50,2,0,2,11.67,10.5,0.5,2,1,1,0.9561818181818181,0.509792704982852
275,,after_candidate_limit,,875,35,0,35,12.78,3.83,0.5,0.75,1,1,0.9566267942583732,0.5095196693155669
276,,after_candidate_limit,,2133,85,8,85,15,13.5,0.5,1.38,2,8,0.954776076555024,0.5094670781042624
277,,after_candidate_limit,,525,21,0,21,11.67,7,0.5,0.75,1,1,0.9545368421052631,0.5093637142124954
278,,after_candidate_limit,,2754,110,4,110,15,9,2.17,3.25,1,15,0.9576775119617225,0.5092946110900446
279,,after_candidate_limit,,2403,96,3,96,15,4.5,2.17,3.25,1,8,0.9576755980861243,0.5092923101433586
280,,after_candidate_limit,,2404,96,4,96,15,4.5,2.17,3.25,1,15,0.9576755980861243,0.5092923101433586
281,,after_candidate_limit,,2578,103,3,103,15,6.75,2.17,3.25,1,8,0.9576755980861243,0.5092923101433586
282,,after_candidate_limit,,2579,103,4,103,15,6.75,2.17,3.25,1,15,0.9576755980861243,0.5092923101433586
283,,after_candidate_limit,,1276,51,1,51,12.78,7.67,0.5,2,1,2,0.9566698564593301,0.5092701467532386
284,,after_candidate_limit,,2779,111,4,111,15,9,3,4.5,1,15,0.9575732057416267,0.5090579329950295
285,,after_candidate_limit,,2428,97,3,97,15,4.5,3,4.5,1,8,0.9575722488038277,0.5090567861170993
286,,after_candidate_limit,,2429,97,4,97,15,4.5,3,4.5,1,15,0.9575722488038277,0.5090567861170993
287,,after_candidate_limit,,2603,104,3,104,15,6.75,3,4.5,1,8,0.9575722488038277,0.5090567861170993
288,,after_candidate_limit,,2604,104,4,104,15,6.75,3,4.5,1,15,0.9575722488038277,0.5090567861170993
289,,after_candidate_limit,,1251,50,1,50,12.78,7.67,0.5,1.38,1,2,0.956666985645933,0.5090221153796377
290,,after_candidate_limit,,575,23,0,23,11.67,7,0.5,2,1,1,0.9546124401913876,0.5089943357590331
291,,after_candidate_limit,,2077,83,2,83,13.89,8.33,3,4.5,1,3,0.954488995215311,0.5089039544212199
292,,after_candidate_limit,,550,22,0,22,11.67,7,0.5,1.38,1,1,0.9545665071770335,0.50887122002834
293,,after_candidate_limit,,1226,49,1,49,12.78,7.67,0.5,0.75,1,2,0.9566392344497607,0.5088479347584812
294,,after_candidate_limit,,2159,86,9,86,15,13.5,0.5,2,2,15,0.9543397129186603,0.5087075391310744
295,,after_candidate_limit,,2703,108,3,108,15,9,1.33,2,1,8,0.9579818181818182,0.5086127349141728
296,,after_candidate_limit,,2728,109,3,109,15,9,1.33,3.67,1,8,0.9579818181818182,0.5086127349141728
297,,after_candidate_limit,,2027,81,2,81,13.89,8.33,1.33,3.67,1,3,0.9556631578947369,0.5085046455718387
298,,after_candidate_limit,,2052,82,2,82,13.89,8.33,2.17,3.25,1,3,0.9547444976076555,0.5084291004772254
299,,after_candidate_limit,,2507,100,7,100,15,6.75,0.5,2,2,3,0.9541062200956938,0.5083368472678093
300,,after_candidate_limit,,2331,93,6,93,15,4.5,0.5,2,2,2,0.9541368421052632,0.5083038987567998
301,,after_candidate_limit,,2134,85,9,85,15,13.5,0.5,1.38,2,15,0.9543090909090909,0.5083023213893563
302,,after_candidate_limit,,2482,99,7,99,15,6.75,0.5,1.38,2,3,0.9541071770334928,0.5082419756394415
303,,after_candidate_limit,,2457,98,7,98,15,6.75,0.5,0.75,2,3,0.9541148325358851,0.5082142633357583
304,,after_candidate_limit,,2109,84,9,84,15,13.5,0.5,0.75,2,15,0.9542832535885167,0.5081445246699943
305,,after_candidate_limit,,2002,80,2,80,13.89,8.33,1.33,2,1,3,0.9556354066985646,0.5081240888848336
306,,after_candidate_limit,,2306,92,6,92,15,4.5,0.5,1.38,2,2,0.9541311004784689,0.5081224845703933
307,,after_candidate_limit,,2281,91,6,91,15,4.5,0.5,0.75,2,2,0.9541416267942584,0.5079075491648446
308,,after_candidate_limit,,2753,110,3,110,15,9,2.17,3.25,1,8,0.9576622009569378,0.5078071104752876
309,,after_candidate_limit,,2778,111,3,111,15,9,3,4.5,1,8,0.9575598086124402,0.5076199120960543
310,,after_candidate_limit,,925,37,0,37,12.78,3.83,0.5,2,1,1,0.9565425837320574,0.507281075523633
311,,after_candidate_limit,,2686,107,11,107,15,9,0.5,2,3,2,0.9449416267942584,0.5072420183356111
312,,after_candidate_limit,,1430,57,5,57,13.89,12.5,0.5,1.38,2,1,0.9508688995215311,0.5071769760489472
313,,after_candidate_limit,,900,36,0,36,12.78,3.83,0.5,1.38,1,1,0.9565387559808612,0.5071405989320613
314,,after_candidate_limit,,1953,78,3,78,13.89,8.33,0.5,1.38,1,8,0.9581301435406698,0.5070985722435707
315,,after_candidate_limit,,1978,79,3,79,13.89,8.33,0.5,2,1,8,0.9581301435406698,0.5070985722435707
316,,after_candidate_limit,,1578,63,3,63,13.89,4.17,0.5,0.75,1,8,0.9581291866028708,0.5070974965852788
317,,after_candidate_limit,,1579,63,4,63,13.89,4.17,0.5,0.75,1,15,0.9581291866028708,0.5070974965852788
318,,after_candidate_limit,,1603,64,3,64,13.89,4.17,0.5,1.38,1,8,0.9581291866028708,0.5070974965852788
319,,after_candidate_limit,,1604,64,4,64,13.89,4.17,0.5,1.38,1,15,0.9581291866028708,0.5070974965852788
320,,after_candidate_limit,,1628,65,3,65,13.89,4.17,0.5,2,1,8,0.9581291866028708,0.5070974965852788
321,,after_candidate_limit,,1629,65,4,65,13.89,4.17,0.5,2,1,15,0.9581291866028708,0.5070974965852788
322,,after_candidate_limit,,1753,70,3,70,13.89,6.25,0.5,0.75,1,8,0.9581291866028708,0.5070974965852788
323,,after_candidate_limit,,1754,70,4,70,13.89,6.25,0.5,0.75,1,15,0.9581291866028708,0.5070974965852788
324,,after_candidate_limit,,1778,71,3,71,13.89,6.25,0.5,1.38,1,8,0.9581291866028708,0.5070974965852788
325,,after_candidate_limit,,1779,71,4,71,13.89,6.25,0.5,1.38,1,15,0.9581291866028708,0.5070974965852788
326,,after_candidate_limit,,1803,72,3,72,13.89,6.25,0.5,2,1,8,0.9581291866028708,0.5070974965852788
327,,after_candidate_limit,,1804,72,4,72,13.89,6.25,0.5,2,1,15,0.9581291866028708,0.5070974965852788
328,,after_candidate_limit,,1929,77,4,77,13.89,8.33,0.5,0.75,1,15,0.9581291866028708,0.5070974965852788
329,,after_candidate_limit,,1954,78,4,78,13.89,8.33,0.5,1.38,1,15,0.9581291866028708,0.5070974965852788
330,,after_candidate_limit,,1979,79,4,79,13.89,8.33,0.5,2,1,15,0.9581291866028708,0.5070974965852788
331,,after_candidate_limit,,775,31,0,31,12.78,11.5,1.33,2,1,1,0.9531244019138756,0.5070161280432135
332,,after_candidate_limit,,2661,106,11,106,15,9,0.5,1.38,3,2,0.9449081339712919,0.5068335958927289
333,,after_candidate_limit,,1928,77,3,77,13.89,8.33,0.5,0.75,1,8,0.9581291866028708,0.5068116130805722
334,,after_candidate_limit,,1726,69,1,69,13.89,4.17,3,4.5,1,2,0.9543358851674641,0.5062546783734492
335,,after_candidate_limit,,1676,67,1,67,13.89,4.17,1.33,3.67,1,2,0.9555253588516747,0.5062401474734042
336,,after_candidate_limit,,2106,84,6,84,15,13.5,0.5,0.75,2,2,0.9521100478468899,0.5060998943063265
337,,after_candidate_limit,,1701,68,1,68,13.89,4.17,2.17,3.25,1,2,0.9546133971291866,0.5060553749294102
338,,after_candidate_limit,,1651,66,1,66,13.89,4.17,1.33,2,1,2,0.9555177033492823,0.5059861448962537
339,,after_candidate_limit,,2636,105,11,105,15,9,0.5,0.75,3,2,0.9448813397129187,0.505660996732147
340,,after_candidate_limit,,2782,111,7,111,15,9,3,4.5,2,3,0.9477875598086124,0.5053664242922672
341,,after_candidate_limit,,1902,76,2,76,13.89,6.25,3,4.5,1,3,0.9542746411483254,0.5049636959234082
342,,after_candidate_limit,,1852,74,2,74,13.89,6.25,1.33,3.67,1,3,0.9554583732057417,0.5048576881817775
343,,after_candidate_limit,,1827,73,2,73,13.89,6.25,1.33,2,1,3,0.9554574162679426,0.5048497832933945
344,,after_candidate_limit,,1877,75,2,75,13.89,6.25,2.17,3.25,1,3,0.9545502392344498,0.5048478691086612
345,,after_candidate_limit,,2757,110,7,110,15,9,2.17,3.25,2,3,0.9478861244019139,0.5045428073077313
346,,after_candidate_limit,,2430,97,5,97,15,4.5,3,4.5,2,1,0.9477387559808612,0.5045400543669682
347,,after_candidate_limit,,2107,84,7,84,15,13.5,0.5,0.75,2,3,0.9531148325358851,0.5044927617988447
348,,after_candidate_limit,,2732,109,7,109,15,9,1.33,3.67,2,3,0.9488612440191387,0.5041229680593536
349,,after_candidate_limit,,2131,85,6,85,15,13.5,0.5,1.38,2,2,0.9514736842105264,0.5040728634547039
350,,after_candidate_limit,,2405,96,5,96,15,4.5,2.17,3.25,2,1,0.9478535885167464,0.5039986406318434
351,,after_candidate_limit,,1051,42,1,42,12.78,5.75,0.5,0.75,1,2,0.9563665071770335,0.5039456063853214
352,,after_candidate_limit,,2282,91,7,91,15,4.5,0.5,0.75,2,3,0.9539588516746411,0.5038959333313077
353,,after_candidate_limit,,2355,94,5,94,15,4.5,1.33,2,2,1,0.9488325358851675,0.5038702758191456
354,,after_candidate_limit,,800,32,0,32,12.78,11.5,1.33,3.67,1,1,0.952955980861244,0.5038221696332917
