endpoint_id,score_full_hla__pr__regime_1225,score_full_hla__pr__regime_1400,score_full_hla__pr__regime_1451,score_full_hla__pr__regime_1775,score_full_hla__pr__regime_1926,score_full_hla__pr__regime_1950,score_full_hla__pr__regime_2100,score_full_hla__pr__regime_2126,score_full_hla__pr__regime_2153,score_full_hla__pr__regime_2154,score_full_hla__pr__regime_2275,score_full_hla__pr__regime_2450,score_full_hla__pr__regime_2451,score_full_hla__pr__regime_2505,score_full_hla__pr__regime_2625,score_full_hla__pr__regime_2676,score_full_hla__pr__regime_2677,score_full_hla__pr__regime_2680,score_full_hla__pr__regime_2681,score_full_hla__pr__regime_725
nci_obs_000030,-0.9047391414642334,-2.0939440727233887,-2.0796737670898438,-0.805982768535614,-0.8503140807151794,-0.9354066848754883,-1.8308762311935425,-1.8070768117904663,-1.5614248514175415,-0.8066731095314026,-0.8059628009796143,-0.8194946646690369,-0.8062528371810913,-0.8059728145599365,-1.7838927507400513,-0.8493109941482544,-0.807003378868103,-1.472145438194275,-0.8493109941482544,-2.368662118911743
nci_obs_000031,-1.4213769435882568,-1.257117748260498,-1.165838360786438,-1.1427949666976929,-1.1427949666976929,-1.1428049802780151,-1.2380441427230835,-1.089467167854309,-1.0256880521774292,-1.0256880521774292,-1.0256880521774292,-1.0257080793380737,-1.0256880521774292,-1.1108447313308716,-1.0267385244369507,-1.0256880521774292,-1.0256880521774292,-1.1108547449111938,-1.1108447313308716,-1.450984239578247
nci_obs_000032,-2.22794246673584,-1.5010675191879272,-1.5002171993255615,-1.5002171993255615,-1.5002171993255615,-1.5002171993255615,-1.0065058469772339,-0.9980703592300415,-0.9980703592300415,-0.9980703592300415,-0.9980703592300415,-0.9980703592300415,-0.9980703592300415,-1.9493666887283325,-0.9980703592300415,-0.9980703592300415,-0.9980703592300415,-1.9493666887283325,-1.9493666887283325,-2.227952480316162
nci_obs_000033,-1.0696465969085693,-1.8111586570739746,-1.7918100357055664,-0.8390846848487854,-0.9467741250991821,-1.2688640356063843,-1.5347514152526855,-1.4900611639022827,-1.4848676919937134,-1.4848676919937134,-0.8369501829147339,-0.8992754817008972,-0.8393756151199341,-0.8386333584785461,-1.485487937927246,-1.1411583423614502,-0.8855621218681335,-2.0337677001953125,-1.1411583423614502,-2.164872169494629
nci_obs_000034,-1.5762444734573364,-1.9576897621154785,-1.6970174312591553,-1.54383385181427,-1.538326382637024,-1.5719584226608276,-2.280308961868286,-1.845261812210083,-1.5344247817993164,-1.5332642793655396,-1.533954381942749,-1.5426571369171143,-1.5336341857910156,-1.5486899614334106,-1.5657646656036377,-1.5378541946411133,-1.5335642099380493,-1.5932753086090088,-1.5394055843353271,-1.8988701105117798
nci_obs_000035,-2.0471999645233154,-1.4989043474197388,-1.4896618127822876,-1.4896618127822876,-1.4896618127822876,-1.4896618127822876,-1.1999231576919556,-1.1509923934936523,-1.1498817205429077,-1.1498817205429077,-1.1498817205429077,-1.1498817205429077,-1.1498817205429077,-1.5169917345046997,-1.1498817205429077,-1.1498817205429077,-1.1498817205429077,-1.5169917345046997,-1.5169917345046997,-2.047290086746216
nci_obs_000036,-1.8449373245239258,-1.5044320821762085,-1.4627240896224976,-1.4605215787887573,-1.4605215787887573,-1.4620928764343262,-1.3200112581253052,-1.2126190662384033,-1.2023869752883911,-1.2023869752883911,-1.2023869752883911,-1.2025269269943237,-1.2023869752883911,-1.5585440397262573,-1.2048299312591553,-1.202436923980713,-1.2023869752883911,-1.5617995262145996,-1.558534026145935,-1.8618693351745605
nci_obs_000037,-0.7729173302650452,-2.3804047107696533,-1.7066978216171265,-0.746502161026001,-0.7470734119415283,-0.7688947916030884,-2.414262056350708,-2.4105849266052246,-0.781103253364563,-0.7436298131942749,-0.7437198162078857,-0.7486222982406616,-0.7437098026275635,-0.7503411173820496,-0.8241893649101257,-0.7475675344467163,-0.7437798380851746,-0.7981182336807251,-0.747747540473938,-1.750150203704834
nci_obs_000038,-0.6767218708992004,-1.014228343963623,-0.7408610582351685,-0.6474975347518921,-0.6491289734840393,-0.684844434261322,-1.0017489194869995,-0.7738165855407715,-0.6474475264549255,-0.6474475264549255,-0.6474775075912476,-0.6508328318595886,-0.6474675536155701,-0.6474775075912476,-0.7112545371055603,-0.6487982869148254,-0.6474475264549255,-0.7679097652435303,-0.6501511335372925,-1.1316651105880737
nci_obs_000039,-0.7299740314483643,-1.010481834411621,-0.7704968452453613,-0.7044131755828857,-0.7037226557731628,-0.7238412499427795,-0.9949532151222229,-0.8184689879417419,-0.7027824521064758,-0.7026824355125427,-0.7028724551200867,-0.7065792083740234,-0.702692449092865,-0.7042233347892761,-0.7289859652519226,-0.7028624415397644,-0.7026824355125427,-0.7443509697914124,-0.7030124068260193,-0.9631409049034119
nci_obs_000040,-0.489798367023468,-0.7286230325698853,-0.5360313653945923,-0.4886076748371124,-0.4886176884174347,-0.4888976812362671,-0.7385002970695496,-0.5534067749977112,-0.4886076748371124,-0.4886076748371124,-0.4886076748371124,-0.4887676537036896,-0.4886076748371124,-0.48869767785072327,-0.49571144580841064,-0.4886076748371124,-0.4886076748371124,-0.4891277551651001,-0.48869767785072327,-0.6654545068740845
nci_obs_000041,-3.4914088249206543,-2.8397879600524902,-2.838557243347168,-2.838557243347168,-2.838557243347168,-2.838557243347168,-2.255293130874634,-2.2508227825164795,-2.250732898712158,-2.250732898712158,-2.250732898712158,-2.250732898712158,-2.250732898712158,-3.8429856300354004,-2.250732898712158,-2.250732898712158,-2.250732898712158,-3.8429856300354004,-3.8429856300354004,-3.4915287494659424
nci_obs_000042,-1.9470561742782593,-1.7150990962982178,-1.660994052886963,-1.6608541011810303,-1.6608541011810303,-1.6608641147613525,-1.7174482345581055,-1.5663903951644897,-1.5612070560455322,-1.5612070560455322,-1.5612070560455322,-1.5612070560455322,-1.5612070560455322,-1.6131809949874878,-1.5614269971847534,-1.5612070560455322,-1.5612070560455322,-1.6132010221481323,-1.6131809949874878,-1.9534969329833984
