endpoint_id,score_mono_q_full_pn__roc__regime_1750,score_mono_q_full_pn__roc__regime_1925,score_mono_q_full_pn__roc__regime_1976,score_mono_q_full_pn__roc__regime_2104,score_mono_q_full_pn__roc__regime_2128,score_mono_q_full_pn__roc__regime_2275,score_mono_q_full_pn__roc__regime_2277,score_mono_q_full_pn__roc__regime_2278,score_mono_q_full_pn__roc__regime_2279,score_mono_q_full_pn__roc__regime_2326,score_mono_q_full_pn__roc__regime_2450,score_mono_q_full_pn__roc__regime_2452,score_mono_q_full_pn__roc__regime_2453,score_mono_q_full_pn__roc__regime_2454,score_mono_q_full_pn__roc__regime_2476,score_mono_q_full_pn__roc__regime_2625,score_mono_q_full_pn__roc__regime_2629,score_mono_q_full_pn__roc__regime_2653,score_mono_q_full_pn__roc__regime_2676,score_mono_q_full_pn__roc__regime_2677
nci_obs_000020,-0.2606099843978882,-0.2678311765193939,-0.25975969433784485,-0.2597297132015228,-0.27578794956207275,-0.25982972979545593,-0.2597297132015228,-0.2597297132015228,-0.2597297132015228,-0.2597297132015228,-0.2609604597091675,-0.2597297132015228,-0.2597297132015228,-0.2597297132015228,-0.2597297132015228,-0.27846410870552063,-0.2597297132015228,-0.2597297132015228,-0.2597397267818451,-0.2597297132015228
nci_obs_000021,-0.08281968533992767,-0.08918021619319916,-0.08118834346532822,-0.08118834346532822,-0.08118834346532822,-0.0816984549164772,-0.08118834346532822,-0.08118834346532822,-0.08118834346532822,-0.08118834346532822,-0.08335069566965103,-0.08118834346532822,-0.08118834346532822,-0.08118834346532822,-0.08118834346532822,-0.09791749715805054,-0.08118834346532822,-0.08118834346532822,-0.08118834346532822,-0.08118834346532822
nci_obs_000022,-0.34789109230041504,-0.34792107343673706,-0.34789109230041504,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836,-0.21062828600406647,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836
nci_obs_000023,-0.2870246171951294,-0.30848726630210876,-0.2864343523979187,-0.284131795167923,-0.2844918668270111,-0.28414180874824524,-0.284131795167923,-0.284131795167923,-0.284131795167923,-0.284131795167923,-0.2857725918292999,-0.284131795167923,-0.284131795167923,-0.284131795167923,-0.284131795167923,-0.30415070056915283,-0.284131795167923,-0.284131795167923,-0.28454187512397766,-0.284131795167923
nci_obs_000024,-0.2950907051563263,-0.29632148146629333,-0.29508069157600403,-0.25737935304641724,-0.25744932889938354,-0.25737935304641724,-0.25737935304641724,-0.25737935304641724,-0.25737935304641724,-0.25737935304641724,-0.2574193477630615,-0.25737935304641724,-0.25737935304641724,-0.25737935304641724,-0.25737935304641724,-0.26178908348083496,-0.25737935304641724,-0.25737935304641724,-0.25737935304641724,-0.25737935304641724
nci_obs_000025,-0.4088880121707916,-0.4550878703594208,-0.4048450291156769,-0.39666399359703064,-0.3973841667175293,-0.39707401394844055,-0.39666399359703064,-0.39666399359703064,-0.39666399359703064,-0.39666399359703064,-0.40871062874794006,-0.39666399359703064,-0.39666399359703064,-0.39666399359703064,-0.39687398076057434,-0.43731632828712463,-0.39666399359703064,-0.39666399359703064,-0.40213653445243835,-0.39693403244018555
nci_obs_000026,-0.10636081546545029,-0.11290351301431656,-0.10617083311080933,-0.10616081953048706,-0.11279274523258209,-0.10616081953048706,-0.10616081953048706,-0.10616081953048706,-0.10616081953048706,-0.10616081953048706,-0.10668095201253891,-0.10616081953048706,-0.10616081953048706,-0.10616081953048706,-0.10616081953048706,-0.12238164991140366,-0.10616081953048706,-0.10616081953048706,-0.10621083527803421,-0.10616081953048706
nci_obs_000027,-0.13521967828273773,-0.1476489156484604,-0.13531966507434845,-0.13948960602283478,-0.6245178580284119,-0.1350296437740326,-0.1350296437740326,-0.1350296437740326,-0.1350296437740326,-0.1350296437740326,-0.135629802942276,-0.1350296437740326,-0.1350296437740326,-0.1350296437740326,-0.1350296437740326,-0.17145507037639618,-0.1350296437740326,-0.1350296437740326,-0.13677114248275757,-0.1350896656513214
nci_obs_000028,-0.75961834192276,-0.7596883177757263,-0.75961834192276,-0.37532392144203186,-0.37532392144203186,-0.37532392144203186,-0.37532392144203186,-0.37532392144203186,-0.37532392144203186,-0.37532392144203186,-0.3753339350223541,-0.37532392144203186,-0.37532392144203186,-0.37532392144203186,-0.37532392144203186,-0.37546393275260925,-0.37532392144203186,-0.37532392144203186,-0.37532392144203186,-0.37532392144203186
nci_obs_000029,-0.17924988269805908,-0.20262213051319122,-0.1781489998102188,-0.1775789111852646,-0.29311689734458923,-0.1777389645576477,-0.17754893004894257,-0.17754893004894257,-0.17754893004894257,-0.17754893004894257,-0.1801021844148636,-0.17754893004894257,-0.17754893004894257,-0.17754893004894257,-0.17755894362926483,-0.24203410744667053,-0.17754893004894257,-0.17754893004894257,-0.18053336441516876,-0.17769896984100342
