ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
69,,duplicate_biological_key,mono_q_full_pn__roc__regime_2677,2727,109,2,109,15,9,1.33,3.67,1,3,0.9595282296650718,0.5368483789094906
70,,duplicate_biological_key,mono_q_full_pn__roc__regime_2676,2776,111,1,111,15,9,3,4.5,1,2,0.9595124401913876,0.5467653699134368
71,,duplicate_biological_key,mono_q_full_pn__roc__regime_2677,2702,108,2,108,15,9,1.33,2,1,3,0.9594344497607655,0.5350596913628184
72,,duplicate_biological_key,mono_q_full_pn__roc__regime_2275,2350,94,0,94,15,4.5,1.33,2,1,1,0.9594186602870813,0.5346223950274267
73,,duplicate_biological_key,mono_q_full_pn__roc__regime_2275,2375,95,0,95,15,4.5,1.33,3.67,1,1,0.9593401913875598,0.5315083229672569
74,20,selected,mono_q_full_pn__roc__regime_1976,1976,79,1,79,13.89,8.33,0.5,2,1,2,0.9593114832535885,0.5306626347377751
75,,after_candidate_limit,,1926,77,1,77,13.89,8.33,0.5,0.75,1,2,0.9593043062200957,0.5307701880023057
76,,after_candidate_limit,,1951,78,1,78,13.89,8.33,0.5,1.38,1,2,0.9592746411483254,0.5309290586008933
77,,after_candidate_limit,,2526,101,1,101,15,6.75,1.33,2,1,2,0.9591234449760766,0.5256927621280706
78,,after_candidate_limit,,2551,102,1,102,15,6.75,1.33,3.67,1,2,0.9590966507177033,0.5242158789963487
79,,after_candidate_limit,,1575,63,0,63,13.89,4.17,0.5,0.75,1,1,0.9590851674641149,0.5292391779737312
80,,after_candidate_limit,,2752,110,2,110,15,9,2.17,3.25,1,3,0.9589818181818182,0.536261981929475
81,,after_candidate_limit,,2178,87,3,87,15,13.5,1.33,2,1,8,0.9589105263157894,0.5211532033295141
82,,after_candidate_limit,,2204,88,4,88,15,13.5,1.33,3.67,1,15,0.9588684210526316,0.5208729794372101
83,,after_candidate_limit,,2179,87,4,87,15,13.5,1.33,2,1,15,0.9588153110047847,0.5190406937465705
84,,after_candidate_limit,,1600,64,0,64,13.89,4.17,0.5,1.38,1,1,0.9588105263157894,0.523650267007333
85,,after_candidate_limit,,2400,96,0,96,15,4.5,2.17,3.25,1,1,0.9587803827751196,0.5314106422803523
86,,after_candidate_limit,,1625,65,0,65,13.89,4.17,0.5,2,1,1,0.9587674641148325,0.5221251245130559
87,,after_candidate_limit,,2777,111,2,111,15,9,3,4.5,1,3,0.9587306220095694,0.5366867998434786
88,,after_candidate_limit,,2376,95,1,95,15,4.5,1.33,3.67,1,2,0.9586861244019139,0.5199304685332902
89,,after_candidate_limit,,2102,84,2,84,15,13.5,0.5,0.75,1,3,0.9586794258373206,0.5438068909831402
90,,after_candidate_limit,,2351,94,1,94,15,4.5,1.33,2,1,2,0.9586526315789474,0.5196456011835673
91,,after_candidate_limit,,2552,102,2,102,15,6.75,1.33,3.67,1,3,0.9586344497607655,0.5189473870185841
92,,after_candidate_limit,,2203,88,3,88,15,13.5,1.33,3.67,1,8,0.958633014354067,0.5196543131287367
93,,after_candidate_limit,,2527,101,2,101,15,6.75,1.33,2,1,3,0.9586267942583732,0.5195031772123971
94,,after_candidate_limit,,2576,103,1,103,15,6.75,2.17,3.25,1,2,0.9585851674641148,0.5242886157301321
95,,after_candidate_limit,,2425,97,0,97,15,4.5,3,4.5,1,1,0.9584870813397129,0.5303633605422329
96,,after_candidate_limit,,1403,56,3,56,13.89,12.5,0.5,0.75,1,8,0.9584263157894737,0.5136215453797298
97,,after_candidate_limit,,1751,70,1,70,13.89,6.25,0.5,0.75,1,2,0.9584129186602871,0.514650680475795
98,,after_candidate_limit,,1801,72,1,72,13.89,6.25,0.5,2,1,2,0.9584076555023924,0.5133708528919864
99,,after_candidate_limit,,1427,57,2,57,13.89,12.5,0.5,1.38,1,3,0.9583894736842106,0.5191328335085874
100,,after_candidate_limit,,1776,71,1,71,13.89,6.25,0.5,1.38,1,2,0.9583856459330143,0.5136865879877082
101,,after_candidate_limit,,1402,56,2,56,13.89,12.5,0.5,0.75,1,3,0.9583473684210526,0.5177209965113232
102,,after_candidate_limit,,2127,85,2,85,15,13.5,0.5,1.38,1,3,0.9583387559808613,0.5427249448251653
103,,after_candidate_limit,,2229,89,4,89,15,13.5,2.17,3.25,1,15,0.9583267942583732,0.5201693814767553
104,,after_candidate_limit,,1452,58,2,58,13.89,12.5,0.5,2,1,3,0.9583177033492823,0.5218002652442093
105,,after_candidate_limit,,1428,57,3,57,13.89,12.5,0.5,1.38,1,8,0.9583143540669856,0.5112122838205231
106,,after_candidate_limit,,2377,95,2,95,15,4.5,1.33,3.67,1,3,0.9583081339712919,0.5142838463614892
107,,after_candidate_limit,,2352,94,2,94,15,4.5,1.33,2,1,3,0.9582909090909091,0.5138286570163573
108,,after_candidate_limit,,2601,104,1,104,15,6.75,3,4.5,1,2,0.9582842105263157,0.523780402282021
109,,after_candidate_limit,,1927,77,2,77,13.89,8.33,0.5,0.75,1,3,0.958267942583732,0.5148904701302279
110,,after_candidate_limit,,1453,58,3,58,13.89,12.5,0.5,2,1,8,0.9582377990430622,0.5098054834893141
111,,after_candidate_limit,,1977,79,2,79,13.89,8.33,0.5,2,1,3,0.9582358851674642,0.514288548987245
112,,after_candidate_limit,,1952,78,2,78,13.89,8.33,0.5,1.38,1,3,0.9582076555023924,0.5136257895723728
113,,after_candidate_limit,,2401,96,1,96,15,4.5,2.17,3.25,1,2,0.9581684210526316,0.5196757880458442
114,,after_candidate_limit,,2228,89,3,89,15,13.5,2.17,3.25,1,8,0.958154066985646,0.5191394851488936
115,,after_candidate_limit,,2729,109,4,109,15,9,1.33,3.67,1,15,0.9581301435406698,0.5061242087389577
116,,after_candidate_limit,,2353,94,3,94,15,4.5,1.33,2,1,8,0.9581291866028708,0.5061230766354723
117,,after_candidate_limit,,2354,94,4,94,15,4.5,1.33,2,1,15,0.9581291866028708,0.5061230766354723
118,,after_candidate_limit,,2378,95,3,95,15,4.5,1.33,3.67,1,8,0.9581291866028708,0.5061230766354723
