grid_index,c,kappa
132,-11.95,0.0006035407603615637
133,-11.95,0.000663432017659834
134,-11.95,0.0007292664737217114
135,-11.95,0.0008016338909455349
136,-11.95,0.0008811825557165285
137,-11.95,0.0009686250859269985
138,-11.95,0.0010647448147951186
139,-11.95,0.001170402808170232
140,-11.95,0.0012865455781875354
141,-11.95,0.0014142135623730968
142,-11.95,0.0015545504441572683
143,-11.95,0.0017088133982921087
144,-11.95,0.0018783843529539507
145,-11.95,0.0020647823694200057
146,-11.95,0.0022696772502194106
147,-11.95,0.002494904497664117
148,-11.95,0.0027424817567620755
149,-11.95,0.003014626889812659
150,-11.95,0.0033137778446013506
151,-11.95,0.0036426144941781413
152,-11.95,0.0040040826438662224
153,-11.95,0.00440142042056198
154,-11.95,0.004838187280728665
155,-11.95,0.005318295896944991
156,-11.95,0.005846047208656651
157,-11.95,0.006426168951124776
158,-11.95,0.007063858007723712
159,-11.95,0.007764826964991121
160,-11.95,0.008535355287482936
161,-11.95,0.009382345570870835
162,-11.95,0.01031338537721247
163,-11.95,0.011336815206330902
164,-11.95,0.012461803212208992
165,-11.95,0.013698427333727649
166,-11.95,0.015057765575496863
167,-11.95,0.016551995247538986
168,-11.95,0.018194502052839467
169,-11.95,0.02000000000000001
170,-11.95,0.021984663215203284
171,-11.95,0.02416627083429558
172,-11.95,0.026564366272968886
173,-11.95,0.029200432301826246
174,-11.95,0.032098083494699614
175,-11.95,0.03528327777422226
176,-11.95,0.038784548949737194
177,-11.95,0.04263326233067686
178,-11.95,0.0468638957052671
179,-11.95,0.051514348201635404
180,-11.95,0.05662627979818328
181,-11.95,0.0622454845246464
182,-11.95,0.06842230069707485
183,-11.95,0.07521206186172792
184,-11.95,0.08267559248755606
185,-11.95,0.0908797528478154
186,-11.95,0.09989803797200668
187,-11.95,0.10981123603370764
188,-11.95,0.1207081520723127
189,-11.95,0.13268640353196676
190,-11.95,0.14585329474434222
191,-11.95,0.1603267781891069
192,-11.95,0.17623651114330563
193,-11.95,0.1937250171853996
194,-11.95,0.21294896295902363
195,-11.95,0.2340805616340463
196,-11.95,0.257309115637507
197,-11.95,0.28284271247461923
198,-11.95,0.31091008883145355
199,-11.95,0.3417626796584219
200,-11.95,0.37567687059079036
201,-11.95,0.41295647388400064
202,-11.95,0.45393545004388197
203,-11.95,0.49898089953282365
204,-11.95,0.5484963513524144
205,-11.95,0.6029253779625317
206,-11.95,0.6627555689202699
207,-11.95,0.7285228988356287
208,-11.95,0.8008165287732435
209,-11.95,0.8802840841123949
210,-11.95,0.9676374561457335
211,-11.95,1.0636591793889987
212,-11.95,1.1692094417313288
213,-11.95,1.2852337902249547
214,-11.95,1.4127716015447394
215,-11.95,1.5529653929982221
216,-11.95,1.7070710574965884
217,-11.95,1.8764691141741663
218,-11.95,2.062677075442493
219,-11.95,2.2673630412661816
220,-11.95,2.4923606424417977
221,-11.95,2.739685466745529
222,-11.95,3.0115531150993715
223,-11.95,3.310399049507793
224,-11.95,3.638900410567892
225,-11.95,4.000000000000001
226,-11.9,0.00010000000000000009
227,-11.9,0.00010992331607601645
228,-11.9,0.00012083135417147784
229,-11.9,0.00013282183136484435
230,-11.9,0.0001460021615091313
231,-11.9,0.00016049041747349827
232,-11.9,0.00017641638887111135
233,-11.9,0.0001939227447486859
234,-11.9,0.00021316631165338437
235,-11.9,0.00023431947852633578
236,-11.9,0.00025757174100817686
237,-11.9,0.00028313139899091653
238,-11.9,0.0003112274226232321
239,-11.9,0.00034211150348537436
240,-11.9,0.00037606030930863974
241,-11.9,0.00041337796243778044
242,-11.9,0.0004543987642390775
243,-11.9,0.0004994901898600331
244,-11.9,0.0005490561801685379
245,-11.9,0.0006035407603615637
246,-11.9,0.000663432017659834
247,-11.9,0.0007292664737217114
248,-11.9,0.0008016338909455349
249,-11.9,0.0008811825557165285
250,-11.9,0.0009686250859269985
251,-11.9,0.0010647448147951186
252,-11.9,0.001170402808170232
253,-11.9,0.0012865455781875354
254,-11.9,0.0014142135623730968
255,-11.9,0.0015545504441572683
256,-11.9,0.0017088133982921087
257,-11.9,0.0018783843529539507
258,-11.9,0.0020647823694200057
259,-11.9,0.0022696772502194106
260,-11.9,0.002494904497664117
261,-11.9,0.0027424817567620755
262,-11.9,0.003014626889812659
263,-11.9,0.0033137778446013506
264,-11.9,0.0036426144941781413
265,-11.9,0.0040040826438662224
266,-11.9,0.00440142042056198
267,-11.9,0.004838187280728665
268,-11.9,0.005318295896944991
269,-11.9,0.005846047208656651
270,-11.9,0.006426168951124776
271,-11.9,0.007063858007723712
272,-11.9,0.007764826964991121
273,-11.9,0.008535355287482936
274,-11.9,0.009382345570870835
275,-11.9,0.01031338537721247
276,-11.9,0.011336815206330902
277,-11.9,0.012461803212208992
278,-11.9,0.013698427333727649
279,-11.9,0.015057765575496863
280,-11.9,0.016551995247538986
281,-11.9,0.018194502052839467
282,-11.9,0.02000000000000001
283,-11.9,0.021984663215203284
284,-11.9,0.02416627083429558
285,-11.9,0.026564366272968886
286,-11.9,0.029200432301826246
287,-11.9,0.032098083494699614
288,-11.9,0.03528327777422226
289,-11.9,0.038784548949737194
