model,branch,held_out_cohort,q_order,q_id,q,joint_grid_index,grid_index,c,kappa,training_mean_fractional_rank,training_worst_cohort_fractional_rank,training_mean_metric_regret,held_out_metric,held_out_fractional_rank,held_out_regret
mono_q_full_pn,pr,covid_spike,0,q0,0.0,26596,26596,-0.25,0.004838187280728665,0.09729040283753833,0.19091971986788597,0.015046197777971435,0.6699587015893572,0.2133310763198608,0.007165629109382787
mono_q_full_pn,pr,pdac,1,q0p5,0.5,61402,29649,1.1,0.005846047208656651,0.0027359727268790623,0.003855950051766966,0.00012440561887411272,0.14415941919522704,0.9659932368328852,0.08172101854339245
old_monoallelic,pr,covid_nonspike,1,q0p5,0.5,58671,26918,-0.1,0.0009686250859269985,0.07819272270621164,0.10389019891899552,0.004281567891458338,0.6030289455405478,0.0568649295536231,0.005799033611650128
old_monoallelic,pr,covid_spike,0,q0,0.0,26829,26829,-0.15,0.009382345570870835,0.04718864039870405,0.06844262133743795,0.006292914226062374,0.6666557145297226,0.2020368234372478,0.005058153404933541
old_monoallelic,pr,pdac,1,q0p5,0.5,61637,29884,1.2,0.013698427333727649,0.003918936474256268,0.0077512666175897455,0.00020520116844197078,0.13925771446445168,0.9331320392247946,0.05725025385938365
focal_hla,roc,covid_nonspike,0,q0,0.0,23891,23891,-1.45,0.009382345570870835,0.010162465603508343,0.013414139664518567,0.0035430355880244346,0.7260186676774377,0.16897682493317534,0.003441359487033724
focal_hla,roc,covid_spike,0,q0,0.0,25488,25488,-0.75,0.038784548949737194,0.021857272766639242,0.02258260078811761,0.005479780856976868,0.5340875114258622,0.07799293764737839,0.0008642365530772134
focal_hla,roc,pdac,0,q0,0.0,28106,28106,0.4,0.2340805616340463,0.005692397932470682,0.00912712628384044,0.00042085433887145696,0.6890160183066362,0.8983458190793747,0.0389016018306636
full_hla,roc,covid_nonspike,0,q0,0.0,24005,24005,-1.4,0.01031338537721247,0.008785621774406255,0.014431764052861356,0.004940751418428757,0.7314515619571054,0.16835877066249907,0.005693483685523915
full_hla,roc,covid_spike,0,q0,0.0,25597,25597,-0.7,0.026564366272968886,0.023624829247745283,0.026659003318597135,0.006986231931040254,0.5393113728974278,0.027200292886864576,0.0005865987806717987
full_hla,roc,pdac,0,q0,0.0,26799,26799,-0.15,0.0005490561801685379,0.0018462895092176692,0.0032575790381185955,0.00018280679928528443,0.6917620137299771,0.8627230605102687,0.03752860411899306
full_q_mono_pn,roc,covid_nonspike,0,q0,0.0,24312,24312,-1.25,0.0004994901898600331,0.0033658369517720835,0.006509253099128819,0.00173546821613918,0.7320817145203575,0.1717797207339493,0.005385514387693857
full_q_mono_pn,roc,covid_spike,0,q0,0.0,25012,25012,-0.95,0.0040040826438662224,0.047270325915369865,0.08967101404203556,0.0034536797045576217,0.5378818943154022,0.03063108458682875,0.0010336667834168756
full_q_mono_pn,roc,pdac,0,q0,0.0,26506,26506,-0.3,0.04263326233067686,0.008000259818992769,0.015498596583773911,0.0005461946045980937,0.6773455377574371,0.8574577892553037,0.03318077803203656
mono_q_full_pn,roc,covid_nonspike,0,q0,0.0,26603,26603,-0.25,0.009382345570870835,0.03101982891312991,0.05441436405364868,0.004013478400771764,0.746947945292018,0.12376438354007314,0.008079850911273279
mono_q_full_pn,roc,covid_spike,0,q0,0.0,26718,26718,-0.2,0.011336815206330902,0.03438074505064502,0.0504560610653366,0.010816946793501647,0.5448883326641552,0.05272554060065427,0.0019164125213211314
mono_q_full_pn,roc,pdac,0,q0,0.0,30074,30074,1.3,0.0004543987642390775,0.0021710632501781334,0.0035843211047818504,0.00002942088011509414,0.6480549199084669,0.9809781004082307,0.05514874141876425
old_monoallelic,roc,covid_nonspike,0,q0,0.0,26145,26145,-0.45,0.005318295896944991,0.022934931088917147,0.035418052696015716,0.006766710358247441,0.7356573170346505,0.20200336190030035,0.015322657064341882
old_monoallelic,roc,covid_spike,0,q0,0.0,26722,26722,-0.2,0.016551995247538986,0.03806052995201222,0.05037929636292777,0.01411765196964826,0.5412477183870242,0.05249524649342776,0.0016444698827087212
old_monoallelic,roc,pdac,0,q0,0.0,28534,28534,0.6,0.02416627083429558,0.004331300708990918,0.00628486396901068,0.00007869119438991268,0.6409610983981693,0.9216114288863607,0.05491990846681927
