evaluation_id,exact_vector_identical,rank_equivalent,system_a,system_b
nci,false,false,mono_q_full_pn__pr__regime_2100,mono_q_full_pn__pr__regime_2676
nci,false,false,mono_q_full_pn__pr__regime_2100,mono_q_full_pn__pr__regime_2677
nci,false,false,mono_q_full_pn__pr__regime_2101,mono_q_full_pn__pr__regime_2102
nci,false,false,mono_q_full_pn__pr__regime_2101,mono_q_full_pn__pr__regime_2128
nci,false,false,mono_q_full_pn__pr__regime_2101,mono_q_full_pn__pr__regime_2275
nci,false,false,mono_q_full_pn__pr__regime_2101,mono_q_full_pn__pr__regime_2450
nci,false,false,mono_q_full_pn__pr__regime_2101,mono_q_full_pn__pr__regime_2451
nci,false,false,mono_q_full_pn__pr__regime_2101,mono_q_full_pn__pr__regime_2455
nci,false,false,mono_q_full_pn__pr__regime_2101,mono_q_full_pn__pr__regime_2625
nci,false,false,mono_q_full_pn__pr__regime_2101,mono_q_full_pn__pr__regime_2630
nci,false,false,mono_q_full_pn__pr__regime_2101,mono_q_full_pn__pr__regime_2676
nci,false,false,mono_q_full_pn__pr__regime_2101,mono_q_full_pn__pr__regime_2677
nci,false,false,mono_q_full_pn__pr__regime_2102,mono_q_full_pn__pr__regime_2128
nci,false,false,mono_q_full_pn__pr__regime_2102,mono_q_full_pn__pr__regime_2275
nci,false,false,mono_q_full_pn__pr__regime_2102,mono_q_full_pn__pr__regime_2450
nci,false,false,mono_q_full_pn__pr__regime_2102,mono_q_full_pn__pr__regime_2451
nci,false,false,mono_q_full_pn__pr__regime_2102,mono_q_full_pn__pr__regime_2455
nci,false,false,mono_q_full_pn__pr__regime_2102,mono_q_full_pn__pr__regime_2625
nci,false,false,mono_q_full_pn__pr__regime_2102,mono_q_full_pn__pr__regime_2630
nci,false,false,mono_q_full_pn__pr__regime_2102,mono_q_full_pn__pr__regime_2676
nci,false,false,mono_q_full_pn__pr__regime_2102,mono_q_full_pn__pr__regime_2677
nci,false,false,mono_q_full_pn__pr__regime_2128,mono_q_full_pn__pr__regime_2275
nci,false,false,mono_q_full_pn__pr__regime_2128,mono_q_full_pn__pr__regime_2450
nci,false,false,mono_q_full_pn__pr__regime_2128,mono_q_full_pn__pr__regime_2451
nci,false,false,mono_q_full_pn__pr__regime_2128,mono_q_full_pn__pr__regime_2455
nci,false,false,mono_q_full_pn__pr__regime_2128,mono_q_full_pn__pr__regime_2625
nci,false,false,mono_q_full_pn__pr__regime_2128,mono_q_full_pn__pr__regime_2630
nci,false,false,mono_q_full_pn__pr__regime_2128,mono_q_full_pn__pr__regime_2676
nci,false,false,mono_q_full_pn__pr__regime_2128,mono_q_full_pn__pr__regime_2677
nci,false,false,mono_q_full_pn__pr__regime_2275,mono_q_full_pn__pr__regime_2450
nci,false,false,mono_q_full_pn__pr__regime_2275,mono_q_full_pn__pr__regime_2451
nci,false,false,mono_q_full_pn__pr__regime_2275,mono_q_full_pn__pr__regime_2455
nci,false,false,mono_q_full_pn__pr__regime_2275,mono_q_full_pn__pr__regime_2625
nci,false,false,mono_q_full_pn__pr__regime_2275,mono_q_full_pn__pr__regime_2630
nci,false,false,mono_q_full_pn__pr__regime_2275,mono_q_full_pn__pr__regime_2676
nci,false,false,mono_q_full_pn__pr__regime_2275,mono_q_full_pn__pr__regime_2677
nci,false,false,mono_q_full_pn__pr__regime_2450,mono_q_full_pn__pr__regime_2451
nci,false,false,mono_q_full_pn__pr__regime_2450,mono_q_full_pn__pr__regime_2455
nci,false,false,mono_q_full_pn__pr__regime_2450,mono_q_full_pn__pr__regime_2625
nci,false,false,mono_q_full_pn__pr__regime_2450,mono_q_full_pn__pr__regime_2630
nci,false,false,mono_q_full_pn__pr__regime_2450,mono_q_full_pn__pr__regime_2676
nci,false,false,mono_q_full_pn__pr__regime_2450,mono_q_full_pn__pr__regime_2677
nci,false,false,mono_q_full_pn__pr__regime_2451,mono_q_full_pn__pr__regime_2455
nci,false,false,mono_q_full_pn__pr__regime_2451,mono_q_full_pn__pr__regime_2625
nci,false,false,mono_q_full_pn__pr__regime_2451,mono_q_full_pn__pr__regime_2630
nci,false,false,mono_q_full_pn__pr__regime_2451,mono_q_full_pn__pr__regime_2676
nci,false,false,mono_q_full_pn__pr__regime_2451,mono_q_full_pn__pr__regime_2677
nci,false,false,mono_q_full_pn__pr__regime_2455,mono_q_full_pn__pr__regime_2625
nci,false,false,mono_q_full_pn__pr__regime_2455,mono_q_full_pn__pr__regime_2630
nci,false,false,mono_q_full_pn__pr__regime_2455,mono_q_full_pn__pr__regime_2676
nci,false,false,mono_q_full_pn__pr__regime_2455,mono_q_full_pn__pr__regime_2677
nci,false,false,mono_q_full_pn__pr__regime_2625,mono_q_full_pn__pr__regime_2630
nci,false,false,mono_q_full_pn__pr__regime_2625,mono_q_full_pn__pr__regime_2676
nci,false,false,mono_q_full_pn__pr__regime_2625,mono_q_full_pn__pr__regime_2677
nci,false,false,mono_q_full_pn__pr__regime_2630,mono_q_full_pn__pr__regime_2676
nci,false,false,mono_q_full_pn__pr__regime_2630,mono_q_full_pn__pr__regime_2677
nci,false,false,mono_q_full_pn__pr__regime_2676,mono_q_full_pn__pr__regime_2677
