endpoint_id,score_full_q_mono_pn__roc__regime_1750,score_full_q_mono_pn__roc__regime_1925,score_full_q_mono_pn__roc__regime_1926,score_full_q_mono_pn__roc__regime_2128,score_full_q_mono_pn__roc__regime_2152,score_full_q_mono_pn__roc__regime_2154,score_full_q_mono_pn__roc__regime_2275,score_full_q_mono_pn__roc__regime_2278,score_full_q_mono_pn__roc__regime_2279,score_full_q_mono_pn__roc__regime_2326,score_full_q_mono_pn__roc__regime_2327,score_full_q_mono_pn__roc__regime_2451,score_full_q_mono_pn__roc__regime_2452,score_full_q_mono_pn__roc__regime_2500,score_full_q_mono_pn__roc__regime_2503,score_full_q_mono_pn__roc__regime_2625,score_full_q_mono_pn__roc__regime_2626,score_full_q_mono_pn__roc__regime_2627,score_full_q_mono_pn__roc__regime_2628,score_full_q_mono_pn__roc__regime_2629
nci_obs_000010,-7.527561664581299,-7.527561664581299,-7.527561664581299,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459,-6.911923885345459
nci_obs_000011,-0.37226319313049316,-0.3791802227497101,-0.3719930946826935,-0.3718530535697937,-0.8751070499420166,-0.37180304527282715,-0.37183302640914917,-0.37180304527282715,-0.37180304527282715,-0.37180304527282715,-0.37180304527282715,-0.3718130588531494,-0.37180304527282715,-0.3720630705356598,-0.37180304527282715,-0.38913238048553467,-0.37255334854125977,-0.3718230724334717,-0.37180304527282715,-0.37180304527282715
nci_obs_000012,-0.6120414137840271,-0.8307732939720154,-0.6026350855827332,-0.5905725955963135,-0.6958997249603271,-0.5905725955963135,-0.591823399066925,-0.5905725955963135,-0.5905725955963135,-0.5905725955963135,-0.5905725955963135,-0.5909626483917236,-0.5905725955963135,-0.590852677822113,-0.5905725955963135,-1.0279309749603271,-0.6266558766365051,-0.5906825661659241,-0.5905725955963135,-0.5905725955963135
nci_obs_000013,-3.234070062637329,-3.234149932861328,-3.2340400218963623,-2.8232271671295166,-2.8232271671295166,-2.8232271671295166,-2.8232271671295166,-2.8232271671295166,-2.8232271671295166,-2.8232271671295166,-2.8232271671295166,-2.8232271671295166,-2.8232271671295166,-2.8233070373535156,-2.8232271671295166,-2.823367118835449,-2.8232271671295166,-2.8232271671295166,-2.8232271671295166,-2.8232271671295166
nci_obs_000014,-0.48518437147140503,-0.8636633157730103,-0.6057898998260498,-0.6220111846923828,-0.6272549629211426,-0.6220111846923828,-0.4042664170265198,-0.39482197165489197,-0.39482197165489197,-0.39482197165489197,-0.39482197165489197,-0.40383246541023254,-0.39510202407836914,-0.41735389828681946,-0.39482197165489197,-0.6232620477676392,-0.6220211982727051,-0.5897911787033081,-0.39483198523521423,-0.39482197165489197
nci_obs_000015,-0.539962112903595,-0.7378276586532593,-0.5380293726921082,-1.067009687423706,-1.0671097040176392,-0.526199460029602,-0.5233413577079773,-0.5219203233718872,-0.5219203233718872,-0.5219203233718872,-0.5219203233718872,-0.5223604440689087,-0.5219203233718872,-0.5222203731536865,-0.5219203233718872,-0.931303083896637,-0.577464759349823,-0.5258781313896179,-0.5219203233718872,-0.5219203233718872
nci_obs_000016,-2.8642427921295166,-2.8642427921295166,-2.8642427921295166,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619,-2.326559543609619
nci_obs_000017,-0.6899652481079102,-0.7117882966995239,-0.6902055144309998,-0.9854066967964172,-1.813658356666565,-0.6892150044441223,-0.6892150044441223,-0.6891949772834778,-0.6891949772834778,-0.6891949772834778,-0.6891949772834778,-0.6892049908638,-0.6891949772834778,-0.6892249584197998,-0.6891949772834778,-0.7456278204917908,-0.6938457489013672,-0.6894250512123108,-0.6891949772834778,-0.6891949772834778
nci_obs_000018,-0.8699552416801453,-0.8988887667655945,-0.8680812120437622,-0.8709087371826172,-2.113969087600708,-0.8668103218078613,-0.8669903874397278,-0.8668103218078613,-0.8668103218078613,-0.8668103218078613,-0.8668103218078613,-0.8668503165245056,-0.8668103218078613,-0.8687622547149658,-0.8668103218078613,-0.9285368323326111,-0.8712401390075684,-0.8669803738594055,-0.8668103218078613,-0.8668103218078613
nci_obs_000019,2.374199390411377,2.25046968460083,2.3608591556549072,1.9463768005371094,1.94546639919281,2.2084717750549316,2.3750596046447754,2.3750696182250977,2.3750696182250977,2.3750696182250977,2.3750696182250977,2.3750195503234863,2.3750696182250977,2.3750696182250977,2.3750696182250977,1.9461467266082764,2.2795934677124023,2.3610823154449463,2.3750696182250977,2.3750696182250977
