view_id,parent_cohort,model,branch,l2_variant,metric,view_value,parent_value,delta_from_parent,n_endpoints,n_positive,n_completed_zero_candidates,n_missing_computations,mapping_sha256
pdac_rojas_sethna,pdac_full,focal_hla,pr,max,average_precision,0.41724240146028185,0.2351398722287199,0.18210252923156195,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,pr,mean,average_precision,0.32164230441498476,0.15979380320730624,0.16184850120767852,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,pr,median,average_precision,0.352690375135922,0.1991764061594684,0.15351396897645359,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,pr,top_frac_mean_frac0p01,average_precision,0.41724240146028185,0.22132150821019228,0.19592089325008957,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,pr,top_frac_mean_frac0p02,average_precision,0.41724240146028185,0.17517085128011356,0.2420715501801683,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,pr,top_frac_mean_frac0p05,average_precision,0.416266413695973,0.16665306427133522,0.24961334942463778,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,pr,top_k_logsumexp_k10,average_precision,0.39782035597476834,0.18827576443954241,0.20954459153522592,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,pr,top_k_logsumexp_k2,average_precision,0.4552139787841236,0.21102804088589164,0.24418593789823198,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,pr,top_k_mean_k2,average_precision,0.4658380130816456,0.20336172860350313,0.2624762844781424,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,pr,top_k_mean_k3,average_precision,0.39161518745863316,0.2133693679610739,0.17824581949755927,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,roc,endpoint_local_epitope_second_hla_hybrid_v1,roc_auc,0.623461853978671,0.7079490557751428,-0.08448720179647173,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,roc,logmeanexp,roc_auc,0.5849056603773585,0.7009222661396575,-0.116016605762299,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,roc,logsumexp,roc_auc,0.6324856439704676,0.7024593763724198,-0.06997373240195226,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,roc,max,roc_auc,0.6201804757998359,0.7035573122529645,-0.08337683645312854,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,roc,mean,roc_auc,0.5438884331419196,0.6903820816864296,-0.14649364854450997,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,roc,median,roc_auc,0.5430680885972108,0.7244180939833114,-0.18135000538610058,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,roc,top_frac_mean_frac0p01,roc_auc,0.6201804757998359,0.6998243302591128,-0.07964385445927691,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,roc,top_frac_mean_frac0p02,roc_auc,0.6201804757998359,0.6728151075977163,-0.052634631797880416,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,roc,top_frac_mean_frac0p05,roc_auc,0.6021328958162429,0.678963548528766,-0.0768306527125231,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,roc,top_k_logsumexp_k10,roc_auc,0.6316652994257588,0.6982872200263505,-0.06662192060059169,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,roc,top_k_logsumexp_k2,roc_auc,0.6480721903199343,0.7070707070707071,-0.05899851675077272,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,roc,top_k_mean_k2,roc_auc,0.6751435602953241,0.7007026789635485,-0.025559118668224468,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,roc,top_k_mean_k3,roc_auc,0.6357670221493027,0.7026789635485288,-0.06691194139922607,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,old_monoallelic,pr,endpoint_local_epitope_second_hla_hybrid_v1,average_precision,0.3631839169502981,0.18946922453492754,0.17371469241537058,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,pr,logmeanexp,average_precision,0.3047203519823041,0.16600822652620734,0.1387121254560968,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,pr,logsumexp,average_precision,0.32673483795286273,0.15476373596699375,0.17197110198586898,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,pr,max,average_precision,0.3614460052957694,0.18946922453492754,0.17197678076084189,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
pdac_rojas_sethna,pdac_full,old_monoallelic,pr,mean,average_precision,0.3225019455967263,0.17300606031949006,0.14949588527723623,76,23,0,0,6db46a20128d56e1b7f67bc1da11979c1973c393a00a39ecd845635c0e52994a
