endpoint_id,score_mono_q_full_pn__pr__regime_1225,score_mono_q_full_pn__pr__regime_1400,score_mono_q_full_pn__pr__regime_1401,score_mono_q_full_pn__pr__regime_1575,score_mono_q_full_pn__pr__regime_1750,score_mono_q_full_pn__pr__regime_1925,score_mono_q_full_pn__pr__regime_1930,score_mono_q_full_pn__pr__regime_1951,score_mono_q_full_pn__pr__regime_2100,score_mono_q_full_pn__pr__regime_2101,score_mono_q_full_pn__pr__regime_2102,score_mono_q_full_pn__pr__regime_2128,score_mono_q_full_pn__pr__regime_2275,score_mono_q_full_pn__pr__regime_2450,score_mono_q_full_pn__pr__regime_2451,score_mono_q_full_pn__pr__regime_2455,score_mono_q_full_pn__pr__regime_2625,score_mono_q_full_pn__pr__regime_2630,score_mono_q_full_pn__pr__regime_2676,score_mono_q_full_pn__pr__regime_2677
nci_obs_000010,-4.1178460121154785,-3.7249443531036377,-3.6943376064300537,-3.6922454833984375,-3.6922454833984375,-3.6922454833984375,-4.396097183227539,-3.6922454833984375,-3.669804334640503,-3.52374529838562,-3.5012471675872803,-3.4986839294433594,-3.4986839294433594,-3.4986839294433594,-3.4986839294433594,-3.725555658340454,-3.4986939430236816,-3.7255656719207764,-3.4986839294433594,-3.4986839294433594
nci_obs_000011,-0.12960900366306305,-2.224985361099243,-2.009242057800293,-0.08900896459817886,-0.09541919827461243,-0.18697670102119446,-0.18778705596923828,-0.09128504991531372,-1.9132493734359741,-1.9093011617660522,-1.7661150693893433,-0.10331235826015472,-0.0894697979092598,-0.10079600661993027,-0.08802799135446548,-0.10082598775625229,-0.3218945562839508,-0.3219245374202728,-0.10993794351816177,-0.08994082361459732
nci_obs_000012,-0.2804417312145233,-0.7181733846664429,-0.3611616790294647,-0.1813097894191742,-0.19789618253707886,-0.32289212942123413,-0.4254051148891449,-0.18546204268932343,-0.6007257103919983,-0.3536776602268219,-0.23749235272407532,-0.18041938543319702,-0.1819099634885788,-0.2079383134841919,-0.18084946274757385,-0.22207503020763397,-0.33416977524757385,-0.4583192467689514,-0.2043541669845581,-0.18048936128616333
nci_obs_000013,-1.3744611740112305,-0.8039417266845703,-0.7919032573699951,-0.791373074054718,-0.7913830876350403,-0.7915230989456177,-1.7950557470321655,-0.791373074054718,-0.47464942932128906,-0.4276622235774994,-0.42296960949897766,-0.42262956500053406,-0.42262956500053406,-0.4226495921611786,-0.42262956500053406,-0.8491631746292114,-0.42290961742401123,-0.8494231700897217,-0.42262956500053406,-0.42262956500053406
nci_obs_000014,-0.15401282906532288,-1.647645115852356,-1.643264889717102,-0.11340178549289703,-0.12105539441108704,-0.19450899958610535,-0.19450899958610535,-0.1145230308175087,-1.2448762655258179,-1.2337076663970947,-1.2331475019454956,-0.6687840819358826,-0.11370199173688889,-0.12767130136489868,-0.11304162442684174,-0.12767130136489868,-0.2740355134010315,-0.2740355134010315,-0.11946360021829605,-0.11301164329051971
nci_obs_000015,-0.17928622663021088,-1.0429641008377075,-0.5070337057113647,-0.15644794702529907,-0.1583089530467987,-0.1709730476140976,-0.17844772338867188,-0.15668798983097076,-1.7998559474945068,-1.5028800964355469,-0.8758412599563599,-0.15769892930984497,-0.15635794401168823,-0.1584603190422058,-0.15627793967723846,-0.1585003286600113,-0.18313565850257874,-0.18317565321922302,-0.15687811374664307,-0.1562679260969162
nci_obs_000016,-2.530695676803589,-1.9011932611465454,-1.8981987237930298,-1.8981786966323853,-1.8981786966323853,-1.8981786966323853,-4.177853107452393,-1.8981786966323853,-1.2993168830871582,-1.2906280755996704,-1.2904880046844482,-1.2904880046844482,-1.2904880046844482,-1.2904880046844482,-1.2904880046844482,-2.8415048122406006,-1.2904880046844482,-2.8415048122406006,-1.2904880046844482,-1.2904880046844482
nci_obs_000017,-0.1758795529603958,-0.9756735563278198,-0.4923543334007263,-0.16411133110523224,-0.16561253368854523,-0.17369791865348816,-0.18567952513694763,-0.16453146934509277,-1.9525189399719238,-1.3344881534576416,-0.7926138043403625,-0.16792860627174377,-0.16413135826587677,-0.16502173244953156,-0.16410131752490997,-0.16555190086364746,-0.17938745021820068,-0.1799176186323166,-0.16447141766548157,-0.1641213446855545
nci_obs_000018,-0.17255868017673492,-0.4716610908508301,-0.2766207158565521,-0.15348771214485168,-0.15553900599479675,-0.1673801839351654,-0.17559662461280823,-0.1537877768278122,-0.8003360629081726,-0.38738375902175903,-0.22884762287139893,-0.15367770195007324,-0.15343770384788513,-0.1549488753080368,-0.15335769951343536,-0.15555909276008606,-0.16604864597320557,-0.17204983532428741,-0.1535876840353012,-0.15333767235279083
nci_obs_000019,2.630669116973877,0.7400587797164917,1.3240381479263306,2.633371353149414,2.6333112716674805,2.6245627403259277,2.6245527267456055,2.633371353149414,1.1469320058822632,1.1524983644485474,1.152678370475769,2.599245548248291,2.633371353149414,2.6331613063812256,2.633371353149414,2.6331613063812256,2.600569248199463,2.600569248199463,2.633331298828125,2.633371353149414
nci_obs_000020,-0.2715381383895874,-1.5897659063339233,-0.8828021287918091,-0.2599497437477112,-0.2606099843978882,-0.2678311765193939,-0.26941266655921936,-0.2597797214984894,-1.704602837562561,-1.7006847858428955,-1.5347331762313843,-0.27578794956207275,-0.25982972979545593,-0.2609604597091675,-0.2597297132015228,-0.2609604597091675,-0.27846410870552063,-0.27846410870552063,-0.2597397267818451,-0.2597297132015228
nci_obs_000021,-0.08540722727775574,-0.7367507219314575,-0.19304773211479187,-0.08155843615531921,-0.08281968533992767,-0.08918021619319916,-0.10342372953891754,-0.08118834346532822,-1.64646577835083,-0.48461049795150757,-0.16523319482803345,-0.08118834346532822,-0.0816984549164772,-0.08335069566965103,-0.08118834346532822,-0.08791086822748184,-0.09791749715805054,-0.10902898758649826,-0.08118834346532822,-0.08118834346532822
nci_obs_000022,-0.6734229922294617,-0.4198168218135834,-0.3563467264175415,-0.34789109230041504,-0.34789109230041504,-0.34792107343673706,-0.7686375379562378,-0.34789109230041504,-0.3944159746170044,-0.2615100145339966,-0.21934774518013,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836,-0.2104482650756836,-0.31291326880455017,-0.21062828600406647,-0.31309330463409424,-0.2104482650756836,-0.2104482650756836
nci_obs_000023,-0.3195562958717346,-0.5944891571998596,-0.4042556583881378,-0.2863643765449524,-0.2870246171951294,-0.30848726630210876,-0.3291044533252716,-0.2864243984222412,-0.6014418005943298,-0.44310668110847473,-0.3458009660243988,-0.2844918668270111,-0.28414180874824524,-0.2857725918292999,-0.284131795167923,-0.2864536941051483,-0.30415070056915283,-0.31679627299308777,-0.28454187512397766,-0.284131795167923
nci_obs_000024,-0.42014220356941223,-0.6030619144439697,-0.4095487892627716,-0.29508069157600403,-0.2950907051563263,-0.29632148146629333,-0.45816364884376526,-0.29508069157600403,-0.6130761504173279,-0.41345468163490295,-0.32458773255348206,-0.25744932889938354,-0.25737935304641724,-0.2574193477630615,-0.25737935304641724,-0.2809837758541107,-0.26178908348083496,-0.28535348176956177,-0.25737935304641724,-0.25737935304641724
