endpoint_id,score_old_monoallelic__pr__regime_1050,score_old_monoallelic__pr__regime_1225,score_old_monoallelic__pr__regime_1230,score_old_monoallelic__pr__regime_1575,score_old_monoallelic__pr__regime_1750,score_old_monoallelic__pr__regime_1755,score_old_monoallelic__pr__regime_1925,score_old_monoallelic__pr__regime_1926,score_old_monoallelic__pr__regime_1930,score_old_monoallelic__pr__regime_2275,score_old_monoallelic__pr__regime_2280,score_old_monoallelic__pr__regime_2450,score_old_monoallelic__pr__regime_2455,score_old_monoallelic__pr__regime_2460,score_old_monoallelic__pr__regime_2625,score_old_monoallelic__pr__regime_2626,score_old_monoallelic__pr__regime_2630,score_old_monoallelic__pr__regime_2631,score_old_monoallelic__pr__regime_2635,score_old_monoallelic__pr__regime_525
nci_obs_000024,-0.26906171441078186,-0.2692117393016815,-0.3565644919872284,-0.25441494584083557,-0.25441494584083557,-0.25769028067588806,-0.2552853226661682,-0.25442495942115784,-0.2585606276988983,-0.25441494584083557,-0.2544349730014801,-0.25442495942115784,-0.25444498658180237,-0.25472497940063477,-0.2565065324306488,-0.2544649541378021,-0.2576291263103485,-0.2545349895954132,-0.259385883808136,-0.396332710981369
nci_obs_000025,-0.422592431306839,-0.5405664443969727,-0.6676127910614014,-0.3982352018356323,-0.42688658833503723,-0.4694488048553467,-0.6065319776535034,-0.40906795859336853,-0.6490941643714905,-0.3982045650482178,-0.3999894857406616,-0.44871795177459717,-0.4563814699649811,-0.49775731563568115,-0.6871387362480164,-0.4152762293815613,-0.6948022842407227,-0.4229397773742676,-0.7361781001091003,-0.5010612607002258
nci_obs_000026,-0.10711125284433365,-0.14475610852241516,-0.14475610852241516,-0.10618084669113159,-0.10899486392736435,-0.10899486392736435,-0.20844830572605133,-0.11062077432870865,-0.20844830572605133,-0.10621083527803421,-0.10621083527803421,-0.1138906478881836,-0.1138906478881836,-0.1138906478881836,-0.34936678409576416,-0.12874390184879303,-0.34936678409576416,-0.12874390184879303,-0.34936678409576416,-0.1184966191649437
nci_obs_000027,-0.1352596879005432,-0.15188081562519073,-0.15188081562519073,-0.1350296437740326,-0.13579991459846497,-0.13579991459846497,-0.19264814257621765,-0.1392083615064621,-0.19264814257621765,-0.13503965735435486,-0.13503965735435486,-0.1374826431274414,-0.1374826431274414,-0.1374826431274414,-0.31334325671195984,-0.16017308831214905,-0.31334325671195984,-0.16017308831214905,-0.31334325671195984,-0.13927863538265228
nci_obs_000028,-0.937471866607666,-0.9375518560409546,-2.2526955604553223,-0.5189616680145264,-0.5189716815948486,-1.2496758699417114,-0.5192016959190369,-0.5189616680145264,-1.2499058246612549,-0.2614879608154297,-0.5246357321739197,-0.2615079879760742,-0.5246557593345642,-1.029904842376709,-0.2620581090450287,-0.2614879608154297,-0.5252059102058411,-0.5246357321739197,-1.0304549932479858,-1.4397099018096924
nci_obs_000029,-0.18920661509037018,-0.30196765065193176,-0.30196765065193176,-0.1795208603143692,-0.19798634946346283,-0.19798634946346283,-0.47993865609169006,-0.24945315718650818,-0.47993865609169006,-0.18049325048923492,-0.18049325048923492,-0.21484589576721191,-0.21484589576721191,-0.21484589576721191,-0.7088803052902222,-0.42925915122032166,-0.8917154669761658,-0.42925915122032166,-0.8917154669761658,-0.2287580370903015
nci_obs_000030,-0.07595979422330856,-0.5127988457679749,-1.1641619205474854,-0.057504910975694656,-0.11994296312332153,-0.11994296312332153,-0.34716328978538513,-0.34476029872894287,-1.049134612083435,-0.057945143431425095,-0.057945143431425095,-0.21535490453243256,-0.258430153131485,-0.258430153131485,-0.2228536307811737,-0.21541492640972137,-0.6640944480895996,-0.6566557288169861,-1.406104564666748,-0.4171035587787628
nci_obs_000031,-0.273345410823822,-0.27511703968048096,-0.3360641598701477,-0.2636791169643402,-0.2637791335582733,-0.26399916410446167,-0.26757532358169556,-0.2637191116809845,-0.2696355879306793,-0.2636791169643402,-0.2636791169643402,-0.2637890875339508,-0.2638591527938843,-0.26399919390678406,-0.26735541224479675,-0.26373913884162903,-0.2701677083969116,-0.26380911469459534,-0.27431097626686096,-0.3637465536594391
nci_obs_000032,-3.178964376449585,-3.178964376449585,-6.911430835723877,-2.2383172512054443,-2.2383172512054443,-4.992854118347168,-2.2383172512054443,-2.2383172512054443,-4.992854118347168,-1.4085744619369507,-3.2495181560516357,-1.4085744619369507,-3.2495181560516357,-5.5917181968688965,-1.4085744619369507,-1.4085744619369507,-3.2495181560516357,-3.2495181560516357,-5.5917181968688965,-4.182490825653076
nci_obs_000033,-0.2623940110206604,-0.4028592109680176,-1.1302152872085571,-0.07963887602090836,-0.21989484131336212,-0.536124050617218,-0.2238835096359253,-0.21978479623794556,-0.6234983205795288,-0.08799993991851807,-0.08799993991851807,-0.12249665707349777,-0.29951488971710205,-0.6489636301994324,-0.13153120875358582,-0.12234663963317871,-0.3085494339466095,-0.2993648648262024,-0.6579981446266174,-0.6715534329414368
