endpoint_id,score_focal_hla__roc__regime_2100,score_focal_hla__roc__regime_2101,score_focal_hla__roc__regime_2127,score_focal_hla__roc__regime_2153,score_focal_hla__roc__regime_2154,score_focal_hla__roc__regime_2275,score_focal_hla__roc__regime_2277,score_focal_hla__roc__regime_2278,score_focal_hla__roc__regime_2279,score_focal_hla__roc__regime_2326,score_focal_hla__roc__regime_2450,score_focal_hla__roc__regime_2452,score_focal_hla__roc__regime_2453,score_focal_hla__roc__regime_2454,score_focal_hla__roc__regime_2476,score_focal_hla__roc__regime_2625,score_focal_hla__roc__regime_2629,score_focal_hla__roc__regime_2653,score_focal_hla__roc__regime_2676,score_focal_hla__roc__regime_2677
nci_obs_000020,-2.2649264335632324,-2.261319398880005,-1.8146454095840454,-0.7957003712654114,-0.7854378819465637,-0.7854579091072083,-0.7854378819465637,-0.7854378819465637,-0.7854378819465637,-0.7854378819465637,-0.7861681580543518,-0.7854378819465637,-0.7854378819465637,-0.7854378819465637,-0.7854378819465637,-0.8022280931472778,-0.7854378819465637,-0.7854378819465637,-0.7854378819465637,-0.7854378819465637
nci_obs_000021,-1.8808605670928955,-0.7210112810134888,-0.38281410932540894,-0.3233506679534912,-0.3233506679534912,-0.3233606815338135,-0.3233506679534912,-0.3233506679534912,-0.3233506679534912,-0.3233506679534912,-0.323950856924057,-0.3233506679534912,-0.3233506679534912,-0.3233506679534912,-0.3233506679534912,-0.3379771113395691,-0.3233506679534912,-0.3233506679534912,-0.3233506679534912,-0.3233506679534912
nci_obs_000022,-1.104244351387024,-0.9798658490180969,-0.9549263715744019,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.9537555575370789,-0.953665554523468,-0.953665554523468,-0.953665554523468,-0.953665554523468
nci_obs_000023,-1.449710488319397,-1.222826361656189,-1.1244251728057861,-1.0694423913955688,-1.0694423913955688,-1.0694524049758911,-1.0694423913955688,-1.0694423913955688,-1.0694423913955688,-1.0694423913955688,-1.0712339878082275,-1.0694423913955688,-1.0694423913955688,-1.0694423913955688,-1.0694423913955688,-1.109514594078064,-1.0694423913955688,-1.0694423913955688,-1.0694923400878906,-1.0694423913955688
nci_obs_000024,-1.6821942329406738,-1.4940177202224731,-1.4528483152389526,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4439475536346436,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991,-1.4437974691390991
nci_obs_000025,-1.518242597579956,-1.26844322681427,-1.1722209453582764,-1.0953398942947388,-1.0953198671340942,-1.0963103771209717,-1.0953198671340942,-1.0953198671340942,-1.0953198671340942,-1.0953198671340942,-1.1318998336791992,-1.0953198671340942,-1.0953198671340942,-1.0953198671340942,-1.0956199169158936,-1.2213351726531982,-1.0953198671340942,-1.0953198671340942,-1.116318941116333,-1.095369815826416
nci_obs_000026,-1.8839002847671509,-1.8801127672195435,-1.4872972965240479,-0.4601370394229889,-0.4527296721935272,-0.4527296721935272,-0.4527296721935272,-0.4527296721935272,-0.4527296721935272,-0.4527296721935272,-0.45321980118751526,-0.4527296721935272,-0.4527296721935272,-0.4527296721935272,-0.4527296721935272,-0.46857455372810364,-0.4527296721935272,-0.4527296721935272,-0.45275965332984924,-0.4527296721935272
nci_obs_000027,-2.059495210647583,-2.0549240112304688,-2.054774045944214,-0.7593135833740234,-0.7203128337860107,-0.7203128337860107,-0.7203128337860107,-0.7203128337860107,-0.7203128337860107,-0.7203128337860107,-0.7204728126525879,-0.7203128337860107,-0.7203128337860107,-0.7203128337860107,-0.7203128337860107,-0.733195424079895,-0.7203128337860107,-0.7203128337860107,-0.720352828502655,-0.7203128337860107
nci_obs_000028,-1.8527607917785645,-1.8490033149719238,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489233255386353,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907,-1.8489032983779907
nci_obs_000029,-2.2042150497436523,-2.1990103721618652,-2.198840379714966,-0.7359577417373657,-0.5792101621627808,-0.5793302059173584,-0.5791401863098145,-0.5791401863098145,-0.5791401863098145,-0.5791401863098145,-0.5816833972930908,-0.5791401863098145,-0.5791401863098145,-0.5791401863098145,-0.5791501998901367,-0.6435293555259705,-0.5791401863098145,-0.5791401863098145,-0.582114577293396,-0.5792902112007141
nci_obs_000030,-1.837175965309143,-1.813274621963501,-1.8117533922195435,-1.5276035070419312,-0.8064929842948914,-0.8059628009796143,-0.8059127926826477,-0.8059127926826477,-0.8059127926826477,-0.8059127926826477,-0.8192716836929321,-0.8059127926826477,-0.8059127926826477,-0.8059127926826477,-0.8059127926826477,-1.7721819877624512,-0.8059127926826477,-0.8059127926826477,-0.8442171216011047,-0.8065930604934692
nci_obs_000031,-1.2632118463516235,-1.1429195404052734,-1.121545672416687,-1.1202648878097534,-1.1202648878097534,-1.1202648878097534,-1.1202648878097534,-1.1202648878097534,-1.1202648878097534,-1.1202648878097534,-1.1202749013900757,-1.1202648878097534,-1.1202648878097534,-1.1202648878097534,-1.1202648878097534,-1.1207849979400635,-1.1202648878097534,-1.1202648878097534,-1.1202648878097534,-1.1202648878097534
nci_obs_000032,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376,-3.758556604385376
nci_obs_000033,-1.5410983562469482,-1.4967584609985352,-1.4920355081558228,-1.4916454553604126,-1.4916454553604126,-0.8369401693344116,-0.8359096050262451,-0.8359096050262451,-0.8359096050262451,-0.8359096050262451,-0.8991583585739136,-0.8359996676445007,-0.8359096050262451,-0.8359096050262451,-0.8360496759414673,-1.4922655820846558,-0.8359096050262451,-0.8359096050262451,-1.140141248703003,-0.8851734399795532
nci_obs_000034,-2.73696231842041,-2.7279179096221924,-2.7275278568267822,-2.72751784324646,-2.72751784324646,-2.72751784324646,-2.72751784324646,-2.72751784324646,-2.72751784324646,-2.72751784324646,-2.72755765914917,-2.72751784324646,-2.72751784324646,-2.72751784324646,-2.72751784324646,-2.727717638015747,-2.72751784324646,-2.72751784324646,-2.72751784324646,-2.72751784324646
nci_obs_000035,-1.2007793188095093,-1.155400276184082,-1.1510305404663086,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313,-1.1510006189346313
nci_obs_000036,-1.4861013889312744,-1.4621933698654175,-1.4607423543930054,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.4607523679733276,-1.460732340812683,-1.460732340812683,-1.460732340812683,-1.460732340812683
nci_obs_000037,-2.4466681480407715,-2.4431917667388916,-1.8279350996017456,-0.7748209834098816,-0.7436398267745972,-0.743729829788208,-0.7436197996139526,-0.7436197996139526,-0.7436197996139526,-0.7436197996139526,-0.7486020922660828,-0.7436298131942749,-0.7436197996139526,-0.7436197996139526,-0.7436498403549194,-0.8233867287635803,-0.7436197996139526,-0.7436197996139526,-0.747547447681427,-0.7437898516654968
nci_obs_000038,-1.0064575672149658,-0.7949591875076294,-0.6805763840675354,-0.6474475264549255,-0.6474475264549255,-0.6474775075912476,-0.6474475264549255,-0.6474475264549255,-0.6474475264549255,-0.6474475264549255,-0.6508429050445557,-0.6474475264549255,-0.6474475264549255,-0.6474475264549255,-0.6474475264549255,-0.7118215560913086,-0.6474475264549255,-0.6474475264549255,-0.6487782597541809,-0.6474475264549255
