ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
66,,duplicate_biological_key,mono_q_full_pn__pr__regime_2451,2476,99,1,99,15,6.75,0.5,1.38,1,2,0.9616153110047847,0.5346197907057952
67,16,selected,mono_q_full_pn__pr__regime_1401,1401,56,1,56,13.89,12.5,0.5,0.75,1,2,0.958,0.5344556588154651
68,,duplicate_biological_key,mono_q_full_pn__pr__regime_1400,1450,58,0,58,13.89,12.5,0.5,2,1,1,0.9559234449760765,0.534309556624135
69,,duplicate_biological_key,mono_q_full_pn__pr__regime_2451,2501,100,1,100,15,6.75,0.5,2,1,2,0.961588995215311,0.533849494523
70,,duplicate_biological_key,mono_q_full_pn__pr__regime_1401,1426,57,1,57,13.89,12.5,0.5,1.38,1,2,0.9580612440191387,0.5326887430649464
71,,duplicate_biological_key,mono_q_full_pn__pr__regime_2101,2176,87,1,87,15,13.5,1.33,2,1,2,0.9539081339712918,0.5324321331085108
72,,duplicate_biological_key,mono_q_full_pn__pr__regime_2275,2375,95,0,95,15,4.5,1.33,3.67,1,1,0.9593401913875598,0.5315083229672569
73,,duplicate_biological_key,mono_q_full_pn__pr__regime_2101,2201,88,1,88,15,13.5,1.33,3.67,1,2,0.9535665071770335,0.5315061194871586
74,,duplicate_biological_key,mono_q_full_pn__pr__regime_2275,2400,96,0,96,15,4.5,2.17,3.25,1,1,0.9587803827751196,0.5314106422803523
75,17,selected,mono_q_full_pn__pr__regime_1951,1951,78,1,78,13.89,8.33,0.5,1.38,1,2,0.9592746411483254,0.5309290586008933
76,,duplicate_biological_key,mono_q_full_pn__pr__regime_1951,1926,77,1,77,13.89,8.33,0.5,0.75,1,2,0.9593043062200957,0.5307701880023057
77,,duplicate_biological_key,mono_q_full_pn__pr__regime_1951,1976,79,1,79,13.89,8.33,0.5,2,1,2,0.9593114832535885,0.5306626347377751
78,,duplicate_biological_key,mono_q_full_pn__pr__regime_1401,1451,58,1,58,13.89,12.5,0.5,2,1,2,0.9578066985645933,0.5304419267667093
79,,duplicate_biological_key,mono_q_full_pn__pr__regime_2275,2425,97,0,97,15,4.5,3,4.5,1,1,0.9584870813397129,0.5303633605422329
80,,duplicate_biological_key,mono_q_full_pn__pr__regime_2100,2225,89,0,89,15,13.5,2.17,3.25,1,1,0.9526880382775119,0.530118784330778
81,18,selected,mono_q_full_pn__pr__regime_2128,2128,85,3,85,15,13.5,0.5,1.38,1,8,0.9614320574162679,0.5300585591078487
